University Name,Total Students,International Students,Total Staffs
McDonough School of Business,,,
Accademia Belle Arti Roma,,,
Universidad Privada Franz Tamayo,,,
Mount St Mary's College,,,
Plovdiv university ,,,
The CalArts School of Film and Video,,,
Prestige Institute of Management and Research,,,
New York State College of Ceramics at Alfred University,,,
Hillsborough Community College,,,
Northeastern University (China),37456.0,683.0,2277.0
"Hochschule für Technik, Wirtschaft und Kultur Leipzig",,,
Universitas Islam Indonesia,25899.0,131.0,769.0
Instituto Nacional de Matemática Pura e Aplicada (IMPA),,,
Crowell School of Business,,,
University of Kerala,2844.0,38.0,305.0
School of the Art Institute of Chicago,,,
Thompson Rivers University,,,
Czech University of Life Sciences in Prague,15813.0,4085.0,989.0
Wits Business School,,,
EPOKA University,2251.0,64.0,94.0
University of North Carolina at Asheville,,,
JCA London Fashion Academy,,,
Arab American University,10919.0,3314.0,514.0
University of Ibadan,,,
Galean University,,,
Shenandoah University,,,
Sekolah Tinggi Seni Indonesia (STSI) Bandung,,,
UNIVERSITI TEKNIKAL MALAYSIA MELAKA,11330.0,671.0,724.0
The University of Texas Health Science Center at Houston,,,
Aqaba University of Technology,,,
"Sanjay Gandhi Post Graduate Institute of Medical Sciences, Lucknow (SGPGI)",,,
Benjamin N. Cardozo School of Law,,,
Shanghai Conservatory of Music,,,
"Fashion Institute of Technology (FIT), SUNY",,,
Al-Akhawayu University,,,
Polytechnic of Porto,,,
Universidad de Chile,39510.0,2125.0,2410.0
SOKA University,6464.0,537.0,354.0
Alzaiem Alazhari University,11373.0,0.0,575.0
University of Bedfordshire,,,
University at Buffalo SUNY,28894.0,4840.0,1927.0
Wofford College,,,
ESIGELEC Ecole d'ingénieurs généralistes ,,,
Institut National des Sciences Appliquées de Lyon (INSA),6125.0,1582.0,619.0
University of Music and Performing Arts Vienna  ,,,
Selcuk University,47198.0,1945.0,2663.0
"Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien",,,
Sang Ji University ,,,
The Hang Seng University of Hong Kong,5858.0,316.0,228.0
Dnipro University of Technology,6515.0,152.0,542.0
DigiPen Institute of Technology,,,
University of Joensuu,,,
Université du Littoral Côte d'Opale ,,,
"Department of Accounting, Finance and Economics",,,
Polytechnic University,,,
American University of Sharjah,4856.0,3603.0,394.0
Faculty of Engineering - University of Leeds,,,
Tallinn University of Technology (TalTech),8521.0,1227.0,857.0
Fo Guang University (Buddha's Light University),,,
Logistics Packs,,,
Akhbar El Yom Academy,,,
Yildiz Technical University,19651.0,2621.0,793.0
Dr. Babasaheb Ambedkar Marathwada University,,,
UQ Business School,,,
Jagiellonian University,32989.0,3389.0,4228.0
North Central College,,,
Pancasila University,0.0,0.0,0.0
Universidad Nacional Agraria la Molina,8139.0,134.0,574.0
John Carroll University,,,
Vishwakarma Institute of Technology,,,
Colorado College,,,
Universidad de Carabobo,28770.0,,2275.0
University College Cork,16709.0,3380.0,1521.0
Drexel University,19328.0,2625.0,1602.0
University of Tripoli Lebanon,,,
Northwest Agriculture and Forestry University,30178.0,293.0,2825.0
Universitas Darussalam Gontor,,,
Deakin University,35935.0,6675.0,1751.0
Francis Marion University,,,
ISCOM,,,
University of Northern Colorado,,,
Saint Louis University (Philippines),25349.0,177.0,628.0
Moscow Polytechnic University,9058.0,1267.0,0.0
École Nationale Supérieure d'Électricité et de Mécanique (EMSEM),,,
OCAD University,,,
Chang Gung University,6979.0,352.0,930.0
Rajamangala University of Technology Phra Nakhon (RMUTP),12592.0,0.0,498.0
Universidad Nacional de General Sarmiento (UNGS),13035.0,,793.0
Case School of Law,,,
Okanagan College,,,
