University Name,Total Students,International Students,Total Staffs
Florida Gulf Coast University,,,
Far Eastern Federal University,13531.0,3377.0,2439.0
Universidad Francisco De Vitoria,,,
Aydın Adnan Menderes Üniversitesi,32339.0,,1168.0
Webster Vienna Private University,,,
Kazan State Power Engineering University,8145.0,538.0,432.0
University of Haifa,17353.0,749.0,927.0
Medical University of Gdańsk,,,
Yamagata University ,9284.0,219.0,682.0
Saint Joseph's University (Philadelphia),,,
Djilali Liabes University of Sidi Bel Abbes,,,
Chukyo University,12541.0,127.0,537.0
Universidad de San Andrés,,,
Azusa Pacific University,,,
University of Agronomic Sciences and Veterinary Medicine of Bucharest,8957.0,244.0,495.0
Wagner College,,,
Siberian State University of Telecommunications and Information Sciences,,,
MIT School of Film & Television,,,
Brandeis University,5259.0,1378.0,596.0
Ivey Business School,,,
Southwestern University,,,
Saint-Petersburg State University of Economics,21052.0,1285.0,1918.0
"Sardar Patel University, Vallabh Vidyanagar",3950.0,741.0,172.0
Universidad Autónoma del Estado de México (UAEMex),71521.0,227.0,3495.0
University of Ioannina,34248.0,995.0,723.0
DONETSK NATIONAL MEDICAL UNIVERSITY,,,
Universidad Vasco de Quiroga (UVAQ),3412.0,0.0,0.0
"Haskayne School of Business, University of Calgary ",,,
Jawaharlal Nehru Centre for Advanced Scientific Research,,,
Universidad Nacional Autónoma de Honduras (UNAH),96649.0,,3484.0
Verona University,21807.0,878.0,944.0
Universidade Presbiteriana Mackenzie,8857.0,13.0,787.0
Universidad Villa Rica,,,198.0
Universidad Del Quindío ,17108.0,1.0,678.0
Infrastructure University Kuala Lumpur,,,
Stevens Institute of Technology,6995.0,2421.0,329.0
National Kaohsiung University of Science and Technology (NKUST),23292.0,409.0,1173.0
Kaposvár University,,,
Robert Day School of Economics and Finance,,,
Ho Chi Minh City Open University,,,
Université La Sagesse,3500.0,18.0,100.0
Lincoln University - California,,,
International Christian University,2824.0,112.0,235.0
National Taipei University of Nursing and Health Sciences,,,
Université de La Rochelle,,,
University of South Africa,249362.0,18653.0,2074.0
Escuela Politécnica Nacional,7690.0,132.0,588.0
University of British Columbia,56190.0,15302.0,4603.0
New Mexico State University,,,
UCL Global Business School for Health,,,
Université Laval,26451.0,4637.0,2328.0
European University Institute,,,
"Université d'Auvergne, Clermont-Ferrand 1",,,
École Normale Supérieure de Lyon,2077.0,224.0,370.0
Bradley University,,,
Suratthani Rajabhat University,,,
Forman Christian College (A Chartered University),4978.0,5.0,275.0
Universidad ESAN,18805.0,122.0,280.0
Charles Sturt University ,14446.0,2577.0,988.0
MODUL University Dubai,,,
Robert Day School of Economics and Finance,,,
University of Colombo,25276.0,150.0,884.0
Indian Institute of Management (IIM) - Indore,,,
American University of Culture and Education (AUCE),,,
College of Contemporary Liberal Studies,,,
Institut Catholique de Paris,,,
London College of Fashion,,,
University of Aveiro,13852.0,1515.0,861.0
"Indian Statistical Institute, Kolkata",,,
Universidad Autónoma de Coahuila (UAdeC),25996.0,,2701.0
The ,16448.0,893.0,564.0
CUNY Queens College,,,
Universidad Autónoma Gabriel Rene Moreno,,,
Mohammad Ali Jinnah University,,,
Bauhaus-Universität Weimar,,,
Neapolis University Pafos,,,
Eurasia International University,0.0,0.0,0.0
University of Toronto - Institute for Management & Innovation,,,
Harran University,15429.0,2907.0,866.0
University of Lapland,,,
Université Claude Bernard Lyon 1,37094.0,3773.0,2225.0
,4619.0,279.0,229.0
Connecticut College,,,
Indiana State University,7874.0,197.0,477.0
Technische Universität Ilmenau,,,
Karakoram International University,,,
Tokyo University of Foreign Studies,4098.0,470.0,430.0
Busan University of Foreign Studies,7237.0,652.0,379.0
Northern Kentucky University,,,
Universidade Estadual de Roraima ,3666.0,0.0,196.0
Air University Pakistan,6517.0,35.0,876.0
SUNY Brockport,,,
Universidad de Piura,9773.0,13.0,461.0
"Politehnica University Timisoara, UPT",11903.0,375.0,726.0
"École Nationale Supérieure d'Architecture (ENSA), Nancy",,,
La Fémis,,,
Saint Michael's College,,,
Lipetsk State Technical University,4060.0,89.0,335.0
Intercultural Management and Communication Institute,,,
Saxion University of Applied Sciences,,,
University of Malta,8814.0,816.0,900.0
RUDN University,27986.0,9799.0,4669.0
Instituto Universitario de Ciencias de la Salud. Fundación H. A. Barceló,,,
Hitotsubashi University,6042.0,822.0,556.0
Vitebsk State Technological University,,,
"IAE Business School, Universidad Austral",,,
The University of Warwick,26010.0,11557.0,2634.0
Non-profit joint-stock company Shakarim University,6965.0,113.0,487.0
