University Name,Total Students,International Students,Total Staffs
Tecnológico de Monterrey,50441.0,4783.0,6270.0
Universidad de Lima,14445.0,290.0,678.0
"European University, Georgia",,,
Ecole Polytechnique,2850.0,1248.0,633.0
Rennes School of Business,,,
Alma Mater Studiorum - Università di Bologna,71509.0,6502.0,2948.0
ESILV - Engineering School,,,
Tilburg University,12784.0,2939.0,832.0
Saveetha Institute of Medical And Technical Sciences (SIMATS),11239.0,303.0,1059.0
University of New York in Prague,,,
Airlangga University,29948.0,2173.0,3771.0
Dalhousie University,17074.0,4676.0,1558.0
University of the Fraser Valley,,,
National University of Singapore (NUS),31241.0,9512.0,4396.0
Università degli Studi di Udine,11740.0,523.0,782.0
Tilburg University,12784.0,2939.0,832.0
Future University in Egypt,8471.0,916.0,823.0
Southern Luzon State University,,,
Seton Hall University,,,
Savannah College of Art and Design,,,
San Ignacio University,,,
Berlin School of Business and Innovation,,,
Glion Institute of Higher Education,,,
United International Business School (UIBS),,,
John Hopkins Carey Business School,,,
National Taiwan University of Science and Technology (Taiwan Tech),8926.0,1442.0,946.0
Department of Classics,,,
"Lingnan University, Hong Kong",4325.0,1839.0,313.0
Al-Azhar University,269733.0,23955.0,18231.0
Technical University of Denmark,10410.0,3106.0,2003.0
University of the West of England,30124.0,8560.0,1769.0
Universidad del Pacífico,6329.0,211.0,210.0
IE School of Science and Technology,,,
Trinity Business School,,,
Abai Kazakh National Pedagogical University,16670.0,504.0,1415.0
Taylor's University,4174.0,1801.0,712.0
IU International University of Applied Sciences,,,
Miami University,18060.0,1185.0,993.0
University of Edinburgh Business School ,,,
Marwadi University,,,
University of Oulu,10722.0,891.0,960.0
IPB University (aka Bogor Agricultural University),22429.0,945.0,3339.0
Gulf University for Science and Technology,2075.0,288.0,160.0
SRH Fernhochschule – The Distance Learning University,,,
Tilburg University,12784.0,2939.0,832.0
The London School of Economics and Political Science (LSE),11976.0,8430.0,1238.0
The Education University of Hong Kong,,,
Université de Montréal ,39520.0,8488.0,5589.0
Swiss Educational College,,,
UPES,10660.0,31.0,1099.0
Prince Sattam Bin Abdulaziz University,26738.0,527.0,2256.0
Instituto Tecnológico de Sonora (ITSON),18018.0,,855.0
Leiden University,35203.0,7385.0,2879.0
Northwestern Polytechnical University,34955.0,1817.0,3836.0
University of Exeter Business School,,,
Universidad Europea de Madrid,,,
Thammasat University,30489.0,435.0,2682.0
"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",,,
Heriot-Watt University,10223.0,4265.0,812.0
IED - Istituto Europeo di Design,,,
ALMAAREFA UNIVERSITY,2028.0,687.0,197.0
Saint Peter's University,,,
NEOMA Business School France,,,
University of Kent,16186.0,4344.0,1147.0
The Hong Kong University of Science and Technology,10050.0,3435.0,1175.0
IE Business School,,,
Deusto Business School - University of Deusto,,,
Prince Mohammad Bin Fahd university,2599.0,337.0,223.0
Macao Polytechnic University,4533.0,,406.0
University of Technology Sydney,25649.0,8727.0,1585.0
James Cook University,8220.0,849.0,821.0
European University Cyprus,3655.0,,189.0
University of Exeter Business School,,,
"City, University of London",16308.0,7252.0,831.0
University of Jordan,32430.0,5503.0,2520.0
IE Business School,,,
Istituto Marangoni,,,
Universidad del Rosario,10443.0,270.0,957.0
Universidad Católica de Cuenca,34554.0,302.0,722.0
The Hong Kong University of Science and Technology,10050.0,3435.0,1175.0
Rochester Institute of Technology (RIT),15234.0,1826.0,1237.0
New York University Tandon School of Engineering,,,
Universidad del Rosario,10443.0,270.0,957.0
San Ignacio University,,,
ESCP Business School - Madrid,,,
ALMAAREFA UNIVERSITY,2028.0,687.0,197.0
Hult International Business School,,,
Lund University,29818.0,8418.0,3391.0
Ashland University,,,
"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",,,
Les Roches Global Hospitality Management Education,,,
Université Côte d'Azur,32121.0,5911.0,1691.0
University of Otago,19175.0,2995.0,1274.0
Luxembourg School of Business,,,
BI Norwegian Business School,,,
ICN Business School,,,
Frankfurt School of Finance and Management,,,
Universitat Autònoma de Barcelona,32431.0,3854.0,2126.0
Katz Graduate School of Business,,,
Northern Borders University,13924.0,769.0,1170.0
Kangwon National University,19792.0,531.0,1827.0
Universidad de Guadalajara (UDG),142714.0,428.0,11550.0
Universidad de León,10556.0,507.0,1339.0
IU International University of Applied Sciences,,,
Effat University,1058.0,391.0,92.0
University of Technology Sydney,25649.0,8727.0,1585.0
Liverpool School of Tropical Medicine (LSTM),,,
Leiden University,35203.0,7385.0,2879.0
University of Nicosia,3836.0,2031.0,416.0
L.N. Gumilyov Eurasian National University (ENU),17460.0,1028.0,2923.0
Les Roches Global Hospitality Management Education,,,
Karolinska Institutet,,,1730.0
Università degli Studi di Pavia,18574.0,1895.0,1180.0
Glion Institute of Higher Education,,,
Canadian University Dubai,1039.0,791.0,102.0
European University Cyprus,3655.0,,189.0
University of Exeter Business School,,,
Universitas Andalas,30896.0,75.0,1509.0
Sciences Po,12876.0,5056.0,1902.0
London College of Creative Media,,,
Universidad de La Sabana,11630.0,421.0,823.0
Instituto Tecnológico de Sonora (ITSON),18018.0,,855.0
Institut Polytechnique de Paris,5973.0,2465.0,1088.0
The University of Auckland,27805.0,9541.0,2237.0
Temple University,29923.0,1766.0,2722.0
National Taiwan Normal University,10896.0,1626.0,1400.0
University of Szeged,18582.0,3914.0,2014.0
University of Edinburgh Business School ,,,
Hotelschool The Hague,,,
"Macquarie University (Sydney, Australia)",25480.0,9313.0,1453.0
"IÉSEG School of Management, Lille - Paris, France",,,
Clarkson University,3576.0,282.0,279.0
Luxembourg School of Business,,,
Prince Mohammad Bin Fahd university,2599.0,337.0,223.0
Universidad Popular Autónoma del Estado de Puebla (UPAEP),9868.0,339.0,713.0
Universidad Europea de Madrid,,,
Heriot-Watt University,10223.0,4265.0,812.0
Lund University,29818.0,8418.0,3391.0
Breda University of Applied Sciences,,,
Drexel University - College of Engineering,,,
University of Navarra,12346.0,3387.0,1477.0
University of Bristol,29101.0,9255.0,2765.0
Frankfurt School of Finance and Management,,,
Ashland University,,,
Thammasat University,30489.0,435.0,2682.0
"The Mitchell E. Daniels, Jr. School of Business",,,
Amman Arab University,3573.0,693.0,162.0
Iloilo Science and Technology University,,,
Università Cattolica del Sacro Cuore,25890.0,2575.0,1579.0
Les Roches Global Hospitality Management Education,,,
Universidad Europea de Madrid,,,
The Chinese University of Hong Kong (CUHK),18122.0,4367.0,2231.0
Universitat de Lleida (University of Lleida),9772.0,965.0,778.0
EM NORMANDIE BUSINESS SCHOOL,,,
Narxoz University,5051.0,101.0,307.0
EUHT StPOL Barcelona - Sant Pol School of Hospitality and Culinary Management,,,
Universidade de São Paulo,65722.0,1540.0,5900.0
University of South Australia,17310.0,2925.0,1547.0
University of Technology Sydney,25649.0,8727.0,1585.0
IMT Atlantique,1660.0,722.0,271.0
Cardiff University,29755.0,7800.0,2902.0
Saint Peter's University,,,
National Taiwan University (NTU),32398.0,4055.0,3063.0
Narxoz University,5051.0,101.0,307.0
University of Antwerp,17059.0,2814.0,1725.0
Sophia University ,12929.0,1245.0,1082.0
Foisie Business School,,,
York University,42363.0,12509.0,1554.0
Al-Farabi Kazakh National University,20641.0,3498.0,4265.0
ESILV - Engineering School,,,
"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",,,
L.N. Gumilyov Eurasian National University (ENU),17460.0,1028.0,2923.0
University of Southern Queensland,11677.0,1708.0,548.0
"Macquarie University (Sydney, Australia)",25480.0,9313.0,1453.0
IMT Atlantique,1660.0,722.0,271.0
University of Macau,11457.0,5225.0,657.0
The American University of Science,,,
Università Vita-Salute San Raffaele,3087.0,105.0,527.0
University of Liverpool,26030.0,7367.0,2696.0
Universidad Carlos III de Madrid (UC3M),19967.0,4033.0,2329.0
emlyon business school,,,
ESCP Business School - Torino,,,
Ferrandi Paris,,,
University of Tartu,10552.0,1430.0,1847.0
University of Exeter Business School,,,
WU (Vienna University of Economics and Business),,,
EHL Hospitality Business School,,,
Vlerick Business School,,,
University of Debrecen,18536.0,4725.0,1992.0
Universidad de La Sabana,11630.0,421.0,823.0
Conrad School of Entrepreneurship and Business - University of Waterloo,,,
University of Siena,12029.0,1321.0,743.0
University of Waikato,8394.0,1896.0,564.0
IE School of Science and Technology,,,
Maryland Institute College of Art,,,
NHH Norwegian School of Economics,,,
University of Amsterdam,36003.0,10464.0,2989.0
Deusto Business School - University of Deusto,,,
Université Côte d'Azur,32121.0,5911.0,1691.0
York University,42363.0,12509.0,1554.0
Lund University,29818.0,8418.0,3391.0
Università di Padova,49413.0,4103.0,2898.0
University of Szeged,18582.0,3914.0,2014.0
Universidad Europea de Madrid,,,
IPB University (aka Bogor Agricultural University),22429.0,945.0,3339.0
Department of Classics,,,
Sathyabama Institute of Science and Technology (Deemed to be University),14291.0,644.0,1324.0
NHH Norwegian School of Economics,,,
ICN Business School,,,
Universitat Internacional de Catalunya,,,
Samara National Research University (Samara University),8756.0,934.0,1293.0
KU Leuven,50460.0,10035.0,2855.0
Macao Institute for Tourism Studies (IFTM),,,
The Catholic University of America,,,
Sapienza University of Rome,72984.0,6627.0,3508.0
UCAM Universidad Católica San Antonio de Murcia,,,
University of Alberta,31166.0,8403.0,3324.0
"IÉSEG School of Management, Lille - Paris, France",,,
University of Siena,12029.0,1321.0,743.0
Imperial College London,20860.0,12372.0,4017.0
INTI International University,2431.0,791.0,368.0
Peking University HSBC Business School (PHBS),,,
University of Business and Technology ,2579.0,394.0,220.0
Duke-NUS Medical School,,,
"City, University of London",16308.0,7252.0,831.0
Gulf University for Science and Technology,2075.0,288.0,160.0
Universidad de La Sabana,11630.0,421.0,823.0
Auckland University of Technology (AUT),15820.0,6754.0,1151.0
City University of Hong Kong,7919.0,6408.0,1230.0
Universidade de Vigo,20008.0,906.0,1219.0
London School of Hygiene & Tropical Medicine,916.0,592.0,653.0
Duke-NUS Medical School,,,
University of Sussex Business School,,,
Universidad Europea de Madrid,,,
Barcelona School of Economics,225.0,225.0,150.0
Universidad de Belgrano,5126.0,800.0,810.0
Universidad Nacional Pedro Henriquez Urea (UNPHU),7875.0,247.0,1142.0
Aarhus University,28718.0,2909.0,2765.0
SRH Fernhochschule – The Distance Learning University,,,
Southern University of Science and Technology (SUSTech),7935.0,91.0,1253.0
American University of the Middle East,5184.0,747.0,406.0
Universitat Autònoma de Barcelona,32431.0,3854.0,2126.0
Cavite State University,,,
Taylor's University,4174.0,1801.0,712.0
University of Debrecen,18536.0,4725.0,1992.0
Bangor University,8345.0,1857.0,565.0
"IE School of Politics, Economics & Global Affairs",,,
Al-Azhar University,269733.0,23955.0,18231.0
Durham University Business School,,,
San Ignacio University,,,
Esade,,,
Bocconi University,13685.0,2839.0,841.0
Liverpool School of Tropical Medicine (LSTM),,,
Gies College of Business - University of Illinois Urbana Champaign,,,
Australian National University (ANU),16885.0,5993.0,1668.0
National Taiwan University of Science and Technology (Taiwan Tech),8926.0,1442.0,946.0
University of Exeter,29870.0,8320.0,2710.0
University of Portsmouth,23009.0,7365.0,1428.0
Taylor's University,4174.0,1801.0,712.0
Temple University,29923.0,1766.0,2722.0
Kangwon National University,19792.0,531.0,1827.0
Durham University Business School,,,
Universidad Nacional Pedro Henriquez Urea (UNPHU),7875.0,247.0,1142.0
National Kaohsiung University of Hospitality and Tourism (NKUHT),,,
University of Sussex,18014.0,6350.0,1320.0
IE School of Science and Technology,,,
Foisie Business School,,,
IMT Nord Europe,,,
BI Norwegian Business School,,,
Oxford Brookes University,14330.0,3742.0,1046.0
NHH Norwegian School of Economics,,,
Lund University,29818.0,8418.0,3391.0
University of Bristol,29101.0,9255.0,2765.0
IE Business School,,,
Al-Azhar University,269733.0,23955.0,18231.0
Montpellier Business School,,,
ESCP Business School - Torino,,,
School of Foreign Service,,,
Al-Farabi Kazakh National University,20641.0,3498.0,4265.0
Miami University,18060.0,1185.0,993.0
UCAM Universidad Católica San Antonio de Murcia,,,
Luiss University,,,
Ferrandi Paris,,,
Cavite State University,,,
Sapienza University of Rome,72984.0,6627.0,3508.0
Umm Al-Qura University,30207.0,3608.0,3627.0
NUS Business Analytics Centre,,,
Nueva Ecija University of Science and Technology,,,
Kogod School of Business,,,
University College Dublin,22484.0,5305.0,1852.0
ISCTE Business School,,,
Università degli Studi di Pavia,18574.0,1895.0,1180.0
University of Navarra,12346.0,3387.0,1477.0
Sobey School of Business - Saint Mary's University,,,
Bocconi University,13685.0,2839.0,841.0
Pontificia Universidad Catolica del Peru (PUCP),28099.0,256.0,2498.0
University of Technology Sydney,25649.0,8727.0,1585.0
Universidad del Pacífico,6329.0,211.0,210.0
ESCP Business School - Madrid,,,
Westminster Business School | University of Westminster,,,
Duke-NUS Medical School,,,
Universidad Peruana Cayetano Heredia (UPCH),11136.0,65.0,1108.0
"Trinity College Dublin, The University of Dublin",16019.0,5593.0,1383.0
Universitat Internacional de Catalunya,,,
Southern University of Science and Technology (SUSTech),7935.0,91.0,1253.0
Prince Mohammad Bin Fahd university,2599.0,337.0,223.0
American University of Ras Al Khaimah,832.0,475.0,98.0
ESMT Berlin,,,
Prince Sattam Bin Abdulaziz University,26738.0,527.0,2256.0
Aalto University,13868.0,2482.0,1444.0
Universidad del Pacífico,6329.0,211.0,210.0
Duke-NUS Medical School,,,
Management and Science University,4540.0,2226.0,484.0
UCL,36903.0,21824.0,7328.0
Al-Farabi Kazakh National University,20641.0,3498.0,4265.0
Università di Padova,49413.0,4103.0,2898.0
Politecnico di Torino,32146.0,6468.0,1090.0
University of Liverpool,26030.0,7367.0,2696.0
Effat University,1058.0,391.0,92.0
Drexel University - College of Engineering,,,
Loughborough University,16435.0,3990.0,1425.0
London Business School,1782.0,1613.0,106.0
Curtin University,22681.0,2896.0,1651.0
Trinity Business School,,,
The Catholic University of America,,,
Sathyabama Institute of Science and Technology (Deemed to be University),14291.0,644.0,1324.0
ISCTE Business School,,,
University of Edinburgh Business School ,,,
Worcester Polytechnic Institute,6297.0,892.0,486.0
Chalmers University of Technology,10071.0,2551.0,1136.0
SBS Swiss Business School,,,
ESCP Business School - Paris,,,
Università Vita-Salute San Raffaele,3087.0,105.0,527.0
Al-Farabi Kazakh National University,20641.0,3498.0,4265.0
University of Nottingham Ningbo China,,,
Samarkand State University,17364.0,548.0,1335.0
Ferrandi Paris,,,
Universidade de Vigo,20008.0,906.0,1219.0
Holy Family University,,,
Maastricht University,22159.0,12606.0,1553.0
Pontificia Universidad Católica Argentina,17314.0,1387.0,4369.0
Sunway University,4350.0,617.0,574.0
University of Southern Queensland,11677.0,1708.0,548.0
UCAM Universidad Católica San Antonio de Murcia,,,
National Taiwan University (NTU),32398.0,4055.0,3063.0
Pace University - New York,,,
Universidade de Vigo,20008.0,906.0,1219.0
Maryland Institute College of Art,,,
University of Navarra,12346.0,3387.0,1477.0
ESCP Business School - Torino,,,
Loughborough University,16435.0,3990.0,1425.0
University of Nizwa,3797.0,318.0,399.0
Khalifa University,3799.0,1048.0,594.0
Université Côte d'Azur,32121.0,5911.0,1691.0
Universidad Técnica de Cotopaxi,,,
Polytechnic Institute of New York University,,,
Kansai University ,29749.0,1157.0,1393.0
Iran University of Science and Technology,15434.0,163.0,532.0
Northeast Normal University,24645.0,1076.0,1613.0
Universidad Nacional de Educacion a Distancia,,,
Lund University School of Economics and Management,,,
Universiti Teknologi Malaysia ,17884.0,5741.0,1902.0
Athens Information Technology,,,
Imam Al-adham College,,,
Goethe Business School,,,
École Navale,,,
Ecole nationale des chartes,,,
Marmara University,70356.0,2816.0,3247.0
Nagasaki University,8721.0,405.0,1319.0
California Polytechnic State University,19925.0,,1124.0
The Women University Multan,5800.0,,213.0
University of Witwatersrand,25553.0,1839.0,1692.0
Dallas Baptist University,,,
Technical University of Moldova,7326.0,60.0,659.0
Medical University of Bialystok,,,
Universidad Autónoma de Tamaulipas (UAT),35465.0,,2445.0
University of Kirkuk,25895.0,1.0,1191.0
Universidad Militar Nueva Granada,1605.0,,931.0
Fukui Prefectural University ,,,
Universidad Nacional de Misiones,25844.0,,1434.0
Panteion University of Social and Political Sciences,,,
"National Institute of Technology Karnataka, Surathkal",6549.0,376.0,330.0
École Internationale des Sciences du Traitement de l'Information (EISTI),,,
"Shivaji University, Kolhapur",5469.0,9.0,216.0
University of Kufa,24992.0,43.0,2356.0
Aqaba University of Technology,,,
