University Name,Total Students,International Students,Total Staffs
Beykent Üniversitesi,,,
Bath Spa University,,,
Brown University,10621.0,2276.0,1512.0
Odessa I.I.Mechnikov National University,,,
Skolkovo Institute of Science and Technology Skoltech,0.0,0.0,0.0
Centre Universitaire – Tindouf,,,
Hubert Humphrey Institute of Public Affairs,,,
University of the South Pacific,,,
Al-Yamamah University,2079.0,321.0,80.0
Sydney Film School,,,
École d'Ingénieurs ESTACA,,,
University of Nottingham,35275.0,9718.0,3384.0
Bharathiar University,1621.0,18.0,278.0
Graduate School of International Relations,,,
Price College of Business,,,
Athena School of Management,,,
Teesside University Business School,,,
Graduate School of Economics and Management,,,
Université du Québec,73677.0,6959.0,1836.0
International Technological University (ITU),,,
Universidad de Monterrey (UDEM),10809.0,125.0,686.0
Geneva School of Diplomacy & International Relations,,,
Pamantasang Ateneo de Manila ,,,
University of Nyíregyháza,1895.0,47.0,232.0
Yugra State University,,,
Brock University,17668.0,2187.0,599.0
"Universal Business School, Mumbai",,,
University of Memphis,15404.0,735.0,1135.0
Laurentian University,,,
"California State University, San Marcos College",,,
University of Alabama - Manderson,,,
University of Lethbridge,,,
Universidad Nacional Agraria la Molina,8139.0,134.0,574.0
Villa College,,,
University of Gujrat,19066.0,,603.0
Universidade Veiga de Almeida,10095.0,7.0,360.0
The College of Wooster,,,
University of Alabama at Birmingham ,21110.0,,3096.0
The Kingdom University,810.0,0.0,47.0
Karaganda State Technical University,5632.0,721.0,957.0
Universidad Evangelica de El Salvador,,,113.0
Universidad Politécnica de Puerto Rico - PUPR,2727.0,15.0,138.0
Singapore University of Technology and Design,2847.0,,582.0
"Dhaka University of Engineering and Technology, Gazipur",3056.0,2.0,258.0
REVA UNIVERSITY,14152.0,139.0,628.0
"Sibelius Academy, University of the Arts Helsinki",,,
Shanghai International Studies University,12627.0,499.0,985.0
Qassim University,35951.0,2838.0,3780.0
Allegheny College,,,
Wilkes University,,,
Liaquat University of Medical & Health Sciences,,,
Моscow University of Finance and Law МFUA,,,
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,5305.0,194.0,743.0
Pepperdine Graziadio Business School,,,
Universiti Sultan Zainal Abidin,10642.0,783.0,724.0
American University of Sharjah - School of Business and Manangement,,,
Doshisha - Graduate school of Business,,,
WU Executive Academy,,,
Kozminski University,,,
Southampton Business School,,,
Tio Business School,,,
College of Mount Saint Vincent,,,
Southwestern University of Finance and Economics,24377.0,636.0,1532.0
Falmouth University,,,
Ramkhamheang University,,,
Salesian Pontifical University,,,
"Indian Institute of Engineering Science and Technology, Shibpur",4493.0,30.0,284.0
Escuela Superior de Administracion Pública (ESAP),12403.0,,646.0
East West University ,11007.0,6.0,435.0
Danish National School of Theatre and Contemporary Dance,,,
University of Texas Dallas,25682.0,4451.0,1123.0
Universitas Hasanuddin,38027.0,142.0,3603.0
University of Kansas,22281.0,1642.0,3429.0
California State Polytechnic University - Pomona,,,
Universidad Antonio de Nebrija ,,,
Universidad Autónoma de Madrid,29152.0,2816.0,2869.0
Universidad de San Carlos de Guatemala,197442.0,,8776.0
Northwestern University,20290.0,3963.0,4158.0
SUNY Canton,,,
I. Razzakov Kyrgyz State Technical University,14100.0,889.0,1158.0
Rhodes College,,,
Dubai Police Academy,2398.0,460.0,59.0
Indian Institute of Management (IIM) - Indore,,,
Universidad Univer,0.0,0.0,0.0
Virginia Wesleyan College,,,
Barcelona Technology School,,,
"Université Jean Monnet, Saint-Etienne",,,
University College of Applied Sciences Gaza,7698.0,0.0,364.0
Advantere School of Management,,,
Russian State University for the Humanities ,9808.0,440.0,721.0
European University Institute,,,
Nagasaki University,8721.0,405.0,1319.0
Université de la Nouvelle-Calédonie,,,
Dubai Pharmacy College,,,
The Kingdom University,810.0,0.0,47.0
Hong Kong Shue Yan University,3793.0,405.0,174.0
National Technical University  ,11055.0,1558.0,1397.0
TELECOM Bretagne,,,
Universidad Nacional de Río Cuarto - UNRC,17268.0,,1706.0
Gwynedd Mercy University,,,
Gulf College,2600.0,239.0,60.0
University of the District of Columbia,,,
ESDEN Business School,,,
Ural Institute of Presidential Academy,,,
Kaywon School of Arts & Design,,,
International University of Monaco,,,
UniLaSalle,,,
Southern Technical University,17887.0,,500.0
Accademia Belle Arti Roma,,,
Regis University,,,
Sewanee-The University of the South,,,
Princess Sumaya University for Technology,2852.0,526.0,188.0
Universidad Rey Juan Carlos,39964.0,4351.0,2454.0
Study in Holland - The Netherlands Institute in Athens,,,
Siam University,7342.0,1374.0,473.0
Hansung University Seoul ,7112.0,240.0,437.0
Instituto Tecnológico de Buenos Aires (ITBA),3506.0,362.0,391.0
Purchase College SUNY,,,
TU Wien – Continuing Education Center,,,
University of Illinois at Chicago (UIC),30194.0,3544.0,2878.0
Shah Abdul Latif University,,,
"Deakin University, Office of the Vice-Chancellor",,,
University of Okara,3923.0,,384.0
Pasundan University,17150.0,59.0,465.0
Nelson Mandela University,,1130.0,953.0
University of Wisconsin - La Crosse,,,
The University of Southern Queensland - School of Management and Enterprise,,,
Haute école spécialisée de Suisse occidentale,,,
College of Engineering,,,
Abu Dhabi School of Management (ADSM),,,
PSG College of Technology,,,
Zeppelin University,,,
"ENSCBP, Bordeaux",,,
Northern Kentucky University,,,
Euler-Franeker Memorial University,,,
Yeshiva University,5002.0,403.0,530.0
"École Supérieure de Commerce, ESC Saint-Etienne",,,
Wellesley College,,,
Dr B R Ambedkar National Institute of Technology Jalandhar,4176.0,,180.0
Dalian University of Technology,35405.0,1245.0,2838.0
SMU – School of Computing and Information Systems,,,
Guru Gobind Singh Indraprastha University,7831.0,,376.0
Kazan (Volga region) Federal University,21948.0,8435.0,4040.0
The University of Texas at Arlington College of Business,,,
ESA Ecole Superieure des Affaires,0.0,0.0,0.0
Universidad de Concepción,24080.0,524.0,1701.0
Client_Test_700,,,
