University Name,Total Students,International Students,Total Staffs
Zhangir khan West Kazakhstan Agrarian Technical University,4582.0,179.0,377.0
RMIT University,33076.0,11617.0,1684.0
Royal Holloway University of London School of Business and Management,11737.0,3840.0,841.0
O.S. Popov Odessa National Academy of Telecommunications,3414.0,128.0,299.0
Polytechnic University,,,
Film and Television Institute of India,,,
George Mason University,29888.0,2681.0,2131.0
Almaty University of Power Engineering and Telecommunications,,,
Universidade Salvador (UNIFACS),24044.0,,415.0
South China Normal University,33842.0,263.0,1834.0
University of Southern Mindanao,,,
College of Business,,,
Southwestern University of Finance and Economics,24377.0,636.0,1532.0
Royal Holloway University of London School of Business and Management,11737.0,3840.0,841.0
Universidad Científica del Sur,10884.0,70.0,1400.0
Emporia State University,,,
Arabian Gulf University,1538.0,1084.0,229.0
Nagaoka University of Technology,2349.0,276.0,214.0
Taiyuan University of Technology,29286.0,389.0,1869.0
Unity College,,,
University of Kwazulu-Natal,28964.0,497.0,1605.0
Interregional Academy of Personnel Management,,,
National University of Tainan,4986.0,131.0,230.0
SRUC (Scotland's Rural College),,,
Dr B R Ambedkar National Institute of Technology Jalandhar,4176.0,,180.0
"University of Economics in Bratislava, Slovakia",8000.0,98.0,612.0
École Supérieure de Chimie Organique et Minérale (ESCOM),,,
China Europe International Business School (CEIBS),,,
École d'Ingénieurs ECAM Rennes,,,
Universidad de Ibagué,6427.0,,230.0
Wesley College,,,
Higher Normal School Mostaganem,,,
University of the Assumption,,,
Universidad Nacional de Trujillo,11068.0,,946.0
W. P. Carey School of Business,,,
Hochschule für Technik Stuttgart,,,
Ho Chi Minh City University of Technology (HUTECH),,,
National Ilan University,5231.0,121.0,285.0
Modern University for Technology and Information,,,
The University of Sheffield,28399.0,11307.0,3351.0
Universidad de Chihuahua,,,
Pontifícia Universidade Católica de Campinas,7692.0,32.0,414.0
Universiti Islam Sultan Sharif Ali,832.0,,113.0
Applied Science Private University - Jordan,4438.0,1278.0,273.0
tt1,,,
Saba University School of Medicine,,,
Indian Institute of Technology Hyderabad (IITH),4299.0,11.0,329.0
State Tourism and Hotel Management School (SSAT),,,
ESMOD,,,
Lehigh University,6769.0,1065.0,604.0
Skidmore College,,,
Khulna University of Engineering and Technology,5958.0,,398.0
Istanbul Şehir University,,,
Saint Joseph's College-New York,,,
Universitas Darussalam Gontor,,,
Rutgers University–Camden,5363.0,176.0,439.0
University of Shanghai for Science and Technology,25424.0,460.0,1801.0
UNIVERSIDAD NACIONAL DE TRES DE FEBRERO,14078.0,,1184.0
"Academy of Economics, Law and Humanities",,,
Nanchang University,51851.0,984.0,2569.0
Azerbaijan State Pedagogical University,,,
Max Stern Academic College of Emek Yezreel,,,
World University of Bangladesh (WUB),6660.0,3.0,239.0
EIT InnoEnergy Master School,,,
Heller School for Social Policy and Management,,,
The Hubert Kairuki Memorial University,,,
Michigan Ross School of Business,,,
Amsterdam Business School,,,
University Center of Aflou,,,
Liaquat University of Medical & Health Sciences,,,
University of Southern Caribbean,,,
"Griffith University, Office for Research",,,
Saitama University,8311.0,523.0,601.0
Universita' degli Studi dell'Aquila,,,
Jabir ibn Hayyan Medical University,,,
Warsaw University of Technology,20623.0,1819.0,2379.0
Tilburg School of Economics & Management,,,
International Relations Office,,,
Galatasaray University,3520.0,26.0,316.0
"ENSCM, Chimie Montpellier",,,
Technische Universität Dresden,29200.0,5040.0,4836.0
Daejin University,7473.0,320.0,313.0
Alliance Manchester Business School,,,
O.M.Beketov National University of Urban Economy,5310.0,267.0,528.0
Karakalpak State University,22576.0,19.0,1021.0
Aarhus School of Architecture ,,,
The Sapir Academic College,,,
Beijing University of Technology,24237.0,785.0,2587.0
Hochschule Vechta,,,
King Mongkut's University of Technology Thonburi ,13896.0,536.0,1004.0
"Faculty Of Health Sciences, Western University",,,
Maryville College,,,
LABA Valencia,,,
"University of Education, Lahore",26199.0,,755.0
Central Saint Martins,,,
HEC Paris MBA,,,
Qingdao Technological University Qindao College,,,
University of Calgary,34039.0,8135.0,2768.0
INSA Business School,,,
California Institute of Technology (Caltech),2397.0,706.0,975.0
NUS Business School,,,
"INSEEC MBA Institute, Paris International Business School",,,
Odesa State Agrarian University,,,
University College Ghent,,,
Politeknik Negeri Jakarta,4594.0,,416.0
The University of Lahore,24520.0,663.0,1885.0
Poznan School of Banking,,,
Karaganda Buketov University,13360.0,963.0,1475.0
Università degli studi Guglielmo Marconi,,,
The College of Management - Academic Studies,,,
Ahmet Yesevi Üniversitesi,,,
CUNY College of Staten Island,,,
Atatürk Üniversitesi,,,
MDI Gurgaon,,,
Kyushu Institute of Technology ,5619.0,281.0,377.0
Universidad de Ibagué,6427.0,,230.0
Southeast University,40042.0,1548.0,3467.0
Architectural Association School of Architecture,,,
"University of Economics in Bratislava, Slovakia",8000.0,98.0,612.0
University of Michigan-Flint,,,
Paris School of Economics ,,,
Khoja Akhmet Yassawi International Kazakh-Turkish University,10149.0,1133.0,1196.0
University of Richmond,,,
