University Name,Total Students,International Students,Total Staffs
École d'Ingénieurs ISEN,,,
Illinois Institute of Technology,5519.0,1991.0,389.0
TRAKYA UNIVERSITY,,,
NEWTON University,,,
Georgetown Public Policy Institute,,,
Universia Perú,,,
Universidad Jesuita de Guadalajara,,,
South China Normal University,33842.0,263.0,1834.0
CONSTANTINE THE PHILOSOPHER UNIVERSITY IN NITRA,6569.0,204.0,483.0
Ecole Nationale Superieure des Arts Decoratifs (ENSAD),,,
"Presbyterian University College, Ghana",,,
Athens University of Economics and Business,8750.0,322.0,214.0
Southern Illinois University ,,,
Shandong University,43644.0,1637.0,3406.0
"National University, Philippines",,,
Ecole nationale des chartes,,,
The Graduate School,,,
Universidade Anhembi Morumbi,23424.0,,861.0
Conservatoire royal de Bruxelles,,,
Albany State University - College of Business,,,
ESE Business School,,,
Harvey Mudd College,,,
Universidad Catolica de Costa Rica,,,
Nanjing Normal University,30053.0,1490.0,2300.0
Morgan State University,,,
Queensland University of Technology,,,
Guangdong University of Foreign studies,28202.0,652.0,1613.0
Polytechnic of Porto,,,
IMT Mines Ales,,,
Tulane University Law School,,,
"University of Maryland, Robert H. Smith School of Business",,,
Groupe ISMANS,,,
Newport Business School,,,
University of Ostrava,6935.0,679.0,564.0
The Rockefeller University,201.0,77.0,497.0
Technische Universität Wien,10570.0,3475.0,776.0
Uganda Christian University,,,
Bahauddin Zakariya University ,30862.0,10.0,820.0
"National University of Science and Technology (NUST), Zimbabwe",,,
Universidade Federal do Rio Grande Do Sul ,42893.0,545.0,3305.0
Panjab University,15706.0,240.0,942.0
Universidade Federal Rural de Pernambuco (UFRPE),17000.0,,1200.0
University of Notre Dame,12924.0,1552.0,1587.0
Strathmore University,,,
University of Carthage,31188.0,204.0,3265.0
Vistula University,5767.0,2688.0,331.0
Lamar University,,,
IMT Mines Ales,,,
Universidad Iberoamericana Puebla,4357.0,,631.0
Gwangju National University of Education ,,,
Universidad Mayor de San Francisco Xavier,47821.0,,934.0
Nanjing University of Science and Technology,28418.0,935.0,1710.0
Netaji Subhash University of Technology,,,
Tabriz University of Medical Sciences,,,
Central Bicol State University of Agriculture,,,
Universidade Federal de São Paulo,14552.0,144.0,2685.0
Hunan University ,38180.0,687.0,2972.0
Mie University,7250.0,155.0,573.0
South Kazakhstan Medical Academy,,,
Gadjah Mada University,42964.0,528.0,5054.0
Universidad Metropolitana,4794.0,56.0,248.0
Ted Rogers School of Management - Toronto Metropolitan University,,,
Charles University,50918.0,10811.0,5026.0
Azzaytuna University,,,
Towson University,,,
Indian Institute of Technology Delhi (IITD),11510.0,109.0,965.0
"National University, Philippines",,,
Universidad Autónoma de Baja California,68621.0,2216.0,3208.0
"SEG, Swiss Education Group",,,
Ochanomizu University,2925.0,162.0,312.0
Russian New University RosNOU,2886.0,278.0,319.0
Shanghai Jiao Tong University,38323.0,6637.0,4520.0
Naif Arab University for Security Sciences,0.0,0.0,0.0
Khwaja Fareed University of Engineering and Information Technology,9872.0,5.0,489.0
Trinity Laban Conservatoire of Music and Dance,,,
"Tsinghua University, School of Economics and Management",,,
Ternopil Ivan Puluj National Technical University,3620.0,266.0,426.0
Vetsuisse Faculty Bern and Zurich,,,
The Fuqua School of Business,,,
Rabdan Academy,,,
Pontifícia Universidade Católica de Campinas,7692.0,32.0,414.0
College of Electrical and Electronics Technology (CEET)- Benghazi,,,
Sarah Lawrence University,,,
University of Business Innovation and Sustainability (UBIS),,,
The University of Virginia Darden School of Business,,,
Alderson-Broaddus College,,,
Atria University,,,
SDA Bocconi School of Management,,,
London School of Business and Finance Singapore,,,
Universitas Pembangunan Nasional ,,,
Nova Southeastern University,16817.0,717.0,1215.0
Galean University,,,
Baikal State University,,,
Universidad Estatal de Sonora,11090.0,,0.0
Islamic University,7646.0,29.0,484.0
TOBB University of Economics and Technology,5825.0,29.0,362.0
Universität Osnabrück,,,
Lincoln University College,3395.0,1369.0,501.0
Silesian University in Opava,2880.0,167.0,255.0
Fachhochschule Aargau Nordwestschweiz,,,
École d'Ingénieurs ITECH,,,
Technical University of Darmstadt,14916.0,4084.0,804.0
Viet Nam National University Ho Chi Minh City (VNU-HCM),92190.0,484.0,4215.0
"Mines, ParisTech",,,
Seattle Pacific University,,,
National and Kapodistrian University of Athens,67934.0,7766.0,2000.0
Stockholm University,25375.0,7800.0,2325.0
Centre de Formation et de Perfectionnement des Journalistes (CFPJ),,,
Buffalo State College (SUNY),,,
Universidad EAN,14282.0,165.0,348.0
Technical University of Kosice,9276.0,2153.0,767.0
Vita-Salute San Raffaele Medical School,,,
"Department of Accounting, Finance and Economics",,,
Tishreen University,0.0,0.0,0.0
Kazakh-Russian International University,,,
Universidade de Passo Fundo ,15504.0,,625.0
Western Governors University Indiana,,,
Windesheim University of Applied Sciences,,,
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,5305.0,194.0,743.0
CORCORAN COLLEGE OF ART & DESIGN,,,
Bahauddin Zakariya University ,30862.0,10.0,820.0
The London Film School,,,
Osh State University,,,
"Theatre Academy, University of the Arts Helsinki",,,
Anglo-American University in Prague,,,
"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",6171.0,138.0,575.0
Babes-Bolyai University,36147.0,1601.0,2021.0
University of Applied Arts Vienna ,,,
Western University,30569.0,6742.0,1229.0
JCA London Fashion Academy,,,
Tokat Gaziosmanpasa University,20814.0,2385.0,986.0
Tashkent State University of Economics,14603.0,1391.0,1007.0
New York University (NYU),47051.0,17335.0,7715.0
Pass-world,,,
Universidade de Brasília,50146.0,602.0,2860.0
"Presbyterian University College, Ghana",,,
Andrews University,,,
Regent University ,,,
Hawaii Pacific University,,,
Universidad Anáhuac México,15874.0,654.0,1650.0
Universidade Estadual do Oeste do Paraná,11935.0,,1297.0
Semmelweis University,9643.0,3440.0,1044.0
Universidad de El Salvador - UES,49141.0,,0.0
Sauder School of Business,,,
INSEEC SupSanté,,,
Universidad de Carabobo,28770.0,,2275.0
Hunan University ,38180.0,687.0,2972.0
Newport Business School,,,
Lancaster University Leipzig,,,
Université catholique de Louvain (UCLouvain),28105.0,5146.0,1310.0
School of Law,,,
"Academy of Economics, Law and Humanities",,,
Regent's American College London,,,
"The University of Sydney, Division of Community Engagement",,,
Kharkiv National University of Internal Affairs,,,
Fachhochschule Worms,,,
A'Sharqiyah University,4066.0,17.0,171.0
Academy of Art University,,,
TIAS School for Business and Society,,,
Nazareth College,,,
Mokpo National University ,7968.0,265.0,530.0
University of Connecticut,24591.0,3069.0,2815.0
National Chung Cheng University,8989.0,392.0,709.0
Turku University of Applied Sciences,,,
UCLA - Henry samueli school of engineering and applied science,,,
IAE Aix-Marseille Graduate School of Management,,,
Khulna University,7262.0,,436.0
College of Business and Economics,,,
University of Suwon ,10327.0,293.0,727.0
Colorado Film School,,,
"Presidency University, Kolkata",2937.0,,200.0
CUNY College of Staten Island,,,
Central Queensland University - School of Business and Law,,,
Sahand University of Technology,5354.0,31.0,185.0
Logistics Packs,,,
Tokat Gaziosmanpasa University,20814.0,2385.0,986.0
Universitat Oberta de Catalunya (UOC),,,
Gulf Medical University,1163.0,1093.0,106.0
"University of Economics Ho Chi Minh City, Viet Nam",26286.0,67.0,746.0
Sports Management School (SMS) - Groupe EDC,,,
Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology,9694.0,249.0,725.0
Grand Canyon University,,,
Fachhochschule Salzburg,,,
École Navale,,,
Stevens Institute of Technology,6995.0,2421.0,329.0
UCI Paul Merage School of Business,,,
Robert Day School of Economics and Finance at Claremont McKenna College,,,
Arison School of Business,,,
Siberian State Academy of Geodesy,,,
Goce Delchev University,15992.0,608.0,385.0
"Ain Shams University in Cairo (ASU, Cairo)",155929.0,9128.0,10912.0
Pepperdine University,,,
Universitas Dian Nuswantoro,,,
Universidad Simón Bolívar (Colombia),18482.0,169.0,1071.0
SUNY Potsdam,,,
University of Pittsburgh-Greensburg,,,
Nahda University,9000.0,,720.0
Kastamonu University,19766.0,3063.0,844.0
Babol Noshirvani University of Technology,6062.0,97.0,224.0
Al-Hussein bin Talal University,6506.0,65.0,370.0
Florida National University,,,
Chiang Mai University,36195.0,1647.0,2760.0
Universidad de Concepción,24080.0,524.0,1701.0
John Carroll University,,,
University of Colorado Colorado Springs,,,
Uganda Christian University,,,
Weatherhead School of Management,,,
Ulm University,10301.0,1356.0,1473.0
Université de Bourgogne,,,
Julius-Maximilians-Universität Würzburg,22353.0,2610.0,1319.0
Kyushu Institute of Technology ,5619.0,281.0,377.0
Wits Business School,,,
The Wharton School,,,
The College of the Bahamas,,,
Universidad de San Carlos de Guatemala,197442.0,,8776.0
Royal Irish Academy of Music,,,
"CHRIST (Deemed to be University), Bengaluru",26339.0,437.0,1484.0
Guizhou University,37410.0,363.0,2324.0
School of Human Sciences,,,
KEDGE Business School,,,
Tomsk State University of Control Systems and Radioelectronics,6003.0,942.0,412.0
Universidad Juàrez del Estado de Durango (UJED),18622.0,,216.0
Moscow Polytechnic University,9058.0,1267.0,0.0
Max Stern Academic College of Emek Yezreel,,,
Jönköping University-Sweden,,,
Structuralia,,,
Wagner College,,,
Pomona College,,,
Nanjing University of Aeronautics and Astronautics,30178.0,1076.0,2129.0
University of Science and Technology of Southern Philippines,,,
Oslo School of Architecture,,,
INSEEC Bordeaux International Wine Institute,,,
Azerbaijan State Oil and Industry University,15791.0,462.0,1431.0
Hochschule für Musik und Tanz Köln,,,
University of Sarajevo ,29973.0,999.0,1306.0
Privolzhsky Research Medical University,,,
"Kakatiya University, Warangal",5880.0,98.0,0.0
University of Kansas,22281.0,1642.0,3429.0
Delta University for Science and Technology,8278.0,88.0,583.0
École Nationale Supérieure d'Ingénieurs de Bourges (ENSIB),,,
Tchaikovsky National Academy of Music (Kiev Conservatory),,,
Albertus Magnus College,,,
University of Gloucestershire,,,
