University Name,Total Students,International Students,Total Staffs
Singapore University of Technology and Design,2847.0,,582.0
Birmingham Newman University,,,
Universidad Nacional de Mar del Plata,20067.0,,1001.0
CUNY Queens College,,,
Technische Universität Ilmenau,,,
,12247.0,2807.0,764.0
"Maharaja Sayajirao University of Baroda, Vadodara",34603.0,230.0,1220.0
Syarif Hidayatullah State Islamic University Jakarta,36895.0,184.0,1445.0
Jilin University,70587.0,2036.0,7078.0
Design Academy Eindhoven,,,
University of Jyväskylä,10666.0,330.0,1656.0
Johannes Kepler University Linz,5891.0,887.0,914.0
University of Tulsa College of Business Administration,,,
Sungkyunkwan University (SKKU),22338.0,3782.0,3299.0
TU Dortmund University,17661.0,2204.0,2136.0
University of Al-Qadisiyah,19828.0,0.0,1544.0
DeVry University Orlando,,,
Khon Kaen University,31248.0,904.0,1862.0
RMIT International University Vietnam,,,
Universidad Andina Simón Bolívar - Ecuador,,,
"KFUPM Business School, King Fahd University of Petroleum & Minerals",,,
Goethe-University Frankfurt am Main,32823.0,4787.0,2734.0
Nanjing University of Science and Technology,28418.0,935.0,1710.0
King Saud University,30006.0,3977.0,3869.0
London South Bank University,14683.0,5548.0,881.0
Wilkes University,,,
Tokyo Medical and Dental University (TMDU),2965.0,328.0,844.0
Hawaii Pacific University,,,
Technical University of Kosice,9276.0,2153.0,767.0
Central Mindanao University ,46904.0,70.0,363.0
Sistema Universitario Ana G. Méndez (SUAGM),,,
Yale University,11321.0,3249.0,5769.0
Soonchunhyang University ,10344.0,537.0,1140.0
Marbella University,,,
Niagara University,,,
University of Florida,47824.0,4333.0,6442.0
Royal College of Music,,,
Institut Français de Méchanique Avancée (IFMA),,,
LeBow College of Business,,,
Universidad Autnoma del Beni Jos Ballivin,12114.0,0.0,463.0
Universitas Nahdlatul Ulama Surabaya (UNUSA),,,
Universidad de Salamanca,,,
University at Buffalo SUNY - School of Engineering and Applied Sciences,,,
University College of Boras,,,
Toronto Film School,,,
SUNY Potsdam,,,
Weissman School of Arts and Sciences,,,
Dania Danish Academy of Business and Technology ,,,
Université Abderrahmane Mira – Béjaia,,,
Akita Prefectural University,1844.0,14.0,219.0
China Europe International Business School (CEIBS),,,
Poznan University of Life Sciences,6214.0,539.0,712.0
Jinan University,0.0,0.0,0.0
City University of Seattle in Bulgaria,,,
"Karnatak University, Dharwad",4405.0,,211.0
Tecnológico de Costa Rica -TEC,9675.0,186.0,866.0
"Lee Kuan Yew School of Public Policy, National University of Singapore",,,
Accademia Nazionale di Danza,,,
Rice University,8163.0,2999.0,1053.0
École Nationale Supérieure de Chimie de Rennes,,,
Zhambyl Humanitarian-Technical University,,,
Universidad Autónoma de Guadalajara (UAG),12111.0,1550.0,943.0
Université Lumière Lyon 2,25365.0,4573.0,972.0
Universidade Federal de São João del-Rei ,15327.0,,838.0
Ahsanullah University of Science and Technology,7463.0,2.0,492.0
University of Richmond,,,
Guildhall School of Music and Drama,,,
FURB Universidade Regional de Blumenau,10000.0,,1000.0
Sangmyung University ,16705.0,1119.0,778.0
Akhbar El Yom Academy,,,
Fundación Universitaria Konrad Lorenz,3698.0,27.0,184.0
Ulsan National Institute of Science and Technology (UNIST),3722.0,340.0,634.0
Université Abdelmalek Essaadi,114909.0,674.0,1038.0
The London Film School,,,
Zurich University of Applied Sciences (ZHAW),,,
Universidad Nacional de San Antonio Abad del Cusco,21218.0,,224.0
University of Trinidad and Tobago,12966.0,,
Texas State University,,,
Ostfold University College ,,,
Inner Mongolia University,26996.0,731.0,1764.0
University College of Boras,,,
The Cyprus Institute of Marketing,,,
Dania Danish Academy of Business and Technology ,,,
Wisconsin School of Business,,,
Mokpo National University ,7968.0,265.0,530.0
University of Zalingei,0.0,0.0,0.0
Clarkson's David D. Reh School of Business,,,
Belarusian State University,21077.0,4409.0,3723.0
INSEAD Singapore,,,
Academy of Public Administration under the President of the Republic of Kazakhstan,,,
Chopin University of Music,,,
Universidad Ricardo Palma ,10425.0,,671.0
Minia University,81402.0,598.0,4152.0
New Mexico Highlands University,,,
Yamagata University ,9284.0,219.0,682.0
Suliman S. Olayan School of Business,,,
Sonoma State University,,,
Shiraz University of Medical Sciences,,,
Dostoevsky Omsk State University,5740.0,345.0,1056.0
Ithaca College,,,
"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",6171.0,138.0,575.0
Universidad Anáhuac México,15874.0,654.0,1650.0
Institut Catholique de Paris,,,
Universidad Nacional de Mar del Plata,20067.0,,1001.0
University of Zawia,33777.0,585.0,3356.0
Fordham University Graduate School of Business,,,
Fachhochschule für Wirtschaft Berlin ,,,
China University of Petroleum (East China),25381.0,,1536.0
Case Western Reserve University,11295.0,2886.0,1689.0
Anton Bruckner University ,,,
Bryn Mawr College,,,
"National University of Science and Technology (NUST), Zimbabwe",,,
Universidade de Ribeirão Preto,8340.0,17.0,499.0
Universidad Nacional de Quilmes,22253.0,376.0,887.0
Jose Rizal University,,,
Sungkyunkwan University (SKKU),22338.0,3782.0,3299.0
Harare Institute of Technology,,,
Birmingham Newman University,,,
"The University of Newcastle, Australia (UON)",10395.0,1230.0,1066.0
Arizona State University Online,,,
Nyenrode Business University,,,
Universidade Federal de Lavras,15163.0,198.0,808.0
 University of Dundee,15001.0,4581.0,1522.0
Savitribai Phule Pune University,5871.0,214.0,687.0
College of Management,,,
University of New Haven,,,
Université Nancy 2,,,
University of International Business and Economics,15708.0,2611.0,1015.0
"Royal Free and University College Medical School, University of London",,,
Universiti Brunei Darussalam (UBD),2571.0,635.0,465.0
University of Biskra,,,
The Herzen State Pedagogical University of Russia,15646.0,2848.0,1374.0
University for the Creative Arts,,,
Otaru University of Commerce,2360.0,82.0,88.0
"Indian Veterinary Research Institute, Izatnagar",,,
Universidad de las Ciencias Informáticas,,,
Universidade Regional do Noroeste do Estado do Rio Grande do Sul ,8518.0,,589.0
University of Alaska Anchorage,,,
University of Iowa,26333.0,1323.0,2943.0
National University of the Patagonia San Juan Bosco,16517.0,,1773.0
Corporación Universitaria Minuto de Dios - UNIMINUTO,19726.0,289.0,3212.0
Royal Agricultural University School of Business,,,
American University of Sharjah - School of Business and Manangement,,,
Pratt School of Engineering,,,
Korea Nazarene University,5397.0,167.0,287.0
Economics and law,,,
Kaohsiung Medical University,6802.0,492.0,680.0
Atılım Üniversitesi,8277.0,581.0,623.0
Frederick University,,,
University of Prishtina,42006.0,14.0,1196.0
ESSCA School of Management,,,
KwanDong University,,,
School of Business and Management,,,
Universidad Autónoma de Zacatecas (UAZ),36243.0,,1721.0
Karshi State University,,,
Indian Institute of Information Technology Design and Manufacturing Kancheepuram,1481.0,37.0,54.0
University of Central Oklahoma,12111.0,1174.0,651.0
Florida Southern College,,,
Isra University,,,
Woodbury University,,,
Saint Petersburg State University of Economics (UNECON),11410.0,929.0,619.0
Technische Universität Dresden,29200.0,5040.0,4836.0
"Balochistan University of Information Technology, Engineering and Management Sciences  (BUITEMS)",11344.0,92.0,707.0
San Francisco State University,22478.0,1506.0,1180.0
University of Bridgeport,,,
University of Hohenheim,8615.0,1221.0,797.0
The Cyprus Institute of Marketing,,,
California Polytechnic State University,19925.0,,1124.0
Technische Universität Clausthal,,,
Universidade Potiguar,27735.0,,379.0
Korea National University of Arts,,,
Institut Français de Méchanique Avancée (IFMA),,,
Beuth Hochschule für Technik Berlin,,,
State University of New York at Geneseo,,,
Université du Sud - Toulon - Var,,,
Gubkin Russian State University of Oil and Gas (National Research University),9010.0,746.0,892.0
UNIVERSIDAD NACIONAL DE TRES DE FEBRERO,14078.0,,1184.0
UNIVERSITY OF GDANSK,18027.0,439.0,1774.0
Université Catholique de Lyon,,,
Millikin University,,,
Western New England University ,,,
Colorado Technical University,,,
Sri Devaraj Urs Academy of Higher Education and Research,,,
Xi’an Jiaotong University,52368.0,2381.0,4009.0
HEC Montréal,,,
Korkyt Ata Kyzylorda University,10410.0,39.0,517.0
Massachusetts Institute of Technology (MIT) ,11731.0,3808.0,2925.0
Western Sydney University,30783.0,5255.0,1456.0
Moscow Aviation Institute (National Research University),16075.0,1409.0,2078.0
Tanta University ,136681.0,2629.0,6193.0
"University of Wales, Newport",,,
Universidad Francisco De Vitoria,,,
AIMST UNIVERSITY,3062.0,44.0,296.0
Shanghai University of International Business and Economics,9401.0,1827.0,904.0
Greenwich University Pakistan,,,
Whistling Woods International,,,
Columbia Business School,,,
Al Hussein Technical University,,,
SUNY New Paltz,,,
Gordon Institute of Business Science - University of Pretoria,,,
Al Azhar University-Gaza,14391.0,192.0,387.0
Tokyo Kasei University,6491.0,10.0,162.0
Macalester College,,,
New Mexico State University,,,
Universidad de Cuenca,14443.0,158.0,606.0
Kazakh National Academy of Music,,,
Wilmington University,,,
Aristotle University of Thessaloniki,48739.0,2174.0,2779.0
University of Winnipeg,,,
ISCOM,,,
RUFA - Rome University of Fine Arts,,,
European University Skopje,528.0,165.0,85.0
Universidad César Vallejo,0.0,,7250.0
Rice University,8163.0,2999.0,1053.0
Kimyo International University in Tashkent,,,
Universitat Rovira i Virgili,13977.0,1904.0,1070.0
Kochi University of Technology (KUT),,,
Mary Immaculate College,,,
Beuth Hochschule für Technik Berlin,,,
AgroParisTech,,,
Brusov State University,,,
Tribhuvan University,,,
"Sciences Po, Grenoble",,,
University of Regina,14333.0,2689.0,642.0
University of Tripoli,74450.0,1691.0,2970.0
Sun Moon University,9499.0,1273.0,531.0
New Economic School,0.0,6.0,0.0
Hochschule Augsburg,,,
Universidad Autónoma de Campeche (UACAM),7692.0,17.0,758.0
Habib University,,,
Korea University,25378.0,4452.0,3719.0
"The University of Agriculture, Peshawar",,,
TRACOR - The Communication Arts Institute,,,
Jinan University (China),38436.0,11950.0,2413.0
Sergo Ordzhonikidze Russian State University for Geological Prospecting,3108.0,575.0,449.0
California Lutheran University,,,
University of Oradea,15995.0,1102.0,926.0
"Federal University of Agriculture, Abeokuta",,,
Chittagong University of Engineering and Technology,4380.0,,318.0
Collegium Civitas,,,
Université Pierre-Mendès-France,,,
Osaka Prefecture University ,7727.0,299.0,875.0
Nanyang Centre for Public Administration,,,
Ecole de Commerce International (ESGCI),,,
Caucasus International University,,,
École Internationale des Sciences du Traitement de l'Information (EISTI),,,
Gallaudet University,,,
Colégio Mayor de Antioquia,4047.0,,236.0
Pontificia Universidad Católica de Puerto Rico,,,
dBs Music,,,
California State University - Fullerton,,,
Université des Antilles et de la Guyane,,,
Bates College,,,
Universidad Francisco Gavidia,12285.0,,293.0
Universidad Nacional de Mar del Plata,20067.0,,1001.0
St. Petersburg Conservatory,,,
Lynch School of Education,,,
