No.,University,URL
1,McDonough School of Business,https://www.topuniversities.com/universities/georgetown-university/mcdonough-school-business
2,Accademia Belle Arti Roma,https://www.topuniversities.com/universities/accademia-belle-arti-roma
3,Universidad Privada Franz Tamayo,https://www.topuniversities.com/universities/universidad-privada-franz-tamayo
4,Mount St Mary's College,https://www.topuniversities.com/universities/mount-st-marys-college
5,Plovdiv university ,https://www.topuniversities.com/universities/plovdiv-university-paisii-hilendarski
6,The CalArts School of Film and Video,https://www.topuniversities.com/universities/calarts-school-film-video
7,Prestige Institute of Management and Research,https://www.topuniversities.com/universities/prestige-institute-management-research
8,New York State College of Ceramics at Alfred University,https://www.topuniversities.com/universities/new-york-state-college-ceramics-alfred-university
9,Hillsborough Community College,https://www.topuniversities.com/universities/hillsborough-community-college
10,Northeastern University (China),https://www.topuniversities.com/universities/northeastern-university-china
1,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",https://www.topuniversities.com/universities/hochschule-fur-technik-wirtschaft-und-kultur-leipzig
2,Universitas Islam Indonesia,https://www.topuniversities.com/universities/universitas-islam-indonesia
3,Instituto Nacional de Matemática Pura e Aplicada (IMPA),https://www.topuniversities.com/universities/instituto-nacional-de-matematica-pura-e-aplicada-impa
4,Crowell School of Business,https://www.topuniversities.com/universities/crowell-school-business
5,University of Kerala,https://www.topuniversities.com/universities/university-kerala
6,School of the Art Institute of Chicago,https://www.topuniversities.com/universities/school-art-institute-chicago
7,Thompson Rivers University,https://www.topuniversities.com/universities/thompson-rivers-university
8,Czech University of Life Sciences in Prague,https://www.topuniversities.com/universities/czech-university-life-sciences-prague
9,Wits Business School,https://www.topuniversities.com/universities/university-witwatersrand/wits-business-school
10,EPOKA University,https://www.topuniversities.com/universities/epoka-university
1,University of North Carolina at Asheville,https://www.topuniversities.com/universities/university-north-carolina-asheville
2,JCA London Fashion Academy,https://www.topuniversities.com/universities/jca-london-fashion-academy
3,Arab American University,https://www.topuniversities.com/universities/arab-american-university
4,University of Ibadan,https://www.topuniversities.com/universities/university-ibadan
5,Galean University,https://www.topuniversities.com/universities/galean-university
6,Shenandoah University,https://www.topuniversities.com/universities/shenandoah-university
7,Sekolah Tinggi Seni Indonesia (STSI) Bandung,https://www.topuniversities.com/universities/sekolah-tinggi-seni-indonesia-stsi-bandung
8,UNIVERSITI TEKNIKAL MALAYSIA MELAKA,https://www.topuniversities.com/universities/universiti-teknikal-malaysia-melaka
9,The University of Texas Health Science Center at Houston,https://www.topuniversities.com/universities/university-texas-health-science-center-houston
10,Aqaba University of Technology,https://www.topuniversities.com/universities/aqaba-university-technology
1,"Sanjay Gandhi Post Graduate Institute of Medical Sciences, Lucknow (SGPGI)",https://www.topuniversities.com/universities/sanjay-gandhi-post-graduate-institute-medical-sciences-lucknow-sgpgi
2,Benjamin N. Cardozo School of Law,https://www.topuniversities.com/universities/benjamin-n-cardozo-school-law
3,Shanghai Conservatory of Music,https://www.topuniversities.com/universities/shanghai-conservatory-music
4,"Fashion Institute of Technology (FIT), SUNY",https://www.topuniversities.com/universities/fashion-institute-technology-fit-suny
5,Al-Akhawayu University,https://www.topuniversities.com/universities/al-akhawayu-university
6,Polytechnic of Porto,https://www.topuniversities.com/universities/polytechnic-institute-oporto
7,Universidad de Chile,https://www.topuniversities.com/universities/universidad-de-chile
8,SOKA University,https://www.topuniversities.com/universities/soka-university
9,Alzaiem Alazhari University,https://www.topuniversities.com/universities/alzaiem-alazhari-university
10,University of Bedfordshire,https://www.topuniversities.com/universities/university-bedfordshire
1,University at Buffalo SUNY,https://www.topuniversities.com/universities/university-buffalo-suny
2,Wofford College,https://www.topuniversities.com/universities/wofford-college
3,ESIGELEC Ecole d'ingénieurs généralistes ,https://www.topuniversities.com/universities/ecole-dingenieurs-generalistes-esigelec
4,Institut National des Sciences Appliquées de Lyon (INSA),https://www.topuniversities.com/universities/institut-national-des-sciences-appliquees-de-lyon-insa
5,University of Music and Performing Arts Vienna  ,https://www.topuniversities.com/universities/university-music-performing-arts-vienna
6,Selcuk University,https://www.topuniversities.com/universities/selcuk-university
7,"Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien",https://www.topuniversities.com/universities/hochschule-furtwangen-informatik-technik-wirtschaft-medien
8,Sang Ji University ,https://www.topuniversities.com/universities/sang-ji-university
9,The Hang Seng University of Hong Kong,https://www.topuniversities.com/universities/hang-seng-university-hong-kong
10,Dnipro University of Technology,https://www.topuniversities.com/universities/dnipro-university-technology
1,DigiPen Institute of Technology,https://www.topuniversities.com/universities/digipen-institute-technology
2,University of Joensuu,https://www.topuniversities.com/universities/university-joensuu
3,Université du Littoral Côte d'Opale ,https://www.topuniversities.com/universities/universite-du-littoral-cote-dopale-ulco
4,"Department of Accounting, Finance and Economics",https://www.topuniversities.com/universities/griffith-university/department-accounting-finance-economics
5,Polytechnic University,https://www.topuniversities.com/universities/polytechnic-university
6,American University of Sharjah,https://www.topuniversities.com/universities/american-university-sharjah
7,Faculty of Engineering - University of Leeds,https://www.topuniversities.com/universities/university-leeds/faculty-engineering-university-leeds
8,Tallinn University of Technology (TalTech),https://www.topuniversities.com/universities/tallinn-university-technology-taltech
9,Fo Guang University (Buddha's Light University),https://www.topuniversities.com/universities/fo-guang-university-buddhas-light-university
10,Logistics Packs,https://www.topuniversities.com/universities/logistics-packs
1,Akhbar El Yom Academy,https://www.topuniversities.com/universities/akhbar-el-yom-academy
2,Yildiz Technical University,https://www.topuniversities.com/universities/yildiz-technical-university
3,Dr. Babasaheb Ambedkar Marathwada University,https://www.topuniversities.com/universities/dr-babasaheb-ambedkar-marathwada-university
4,UQ Business School,https://www.topuniversities.com/universities/university-queensland/uq-business-school
5,Jagiellonian University,https://www.topuniversities.com/universities/jagiellonian-university
6,North Central College,https://www.topuniversities.com/universities/north-central-college
7,Pancasila University,https://www.topuniversities.com/universities/pancasila-university
8,Universidad Nacional Agraria la Molina,https://www.topuniversities.com/universities/universidad-nacional-agraria-la-molina
9,John Carroll University,https://www.topuniversities.com/universities/john-carroll-university
10,Vishwakarma Institute of Technology,https://www.topuniversities.com/universities/vishwakarma-institute-technology-vit-pune
1,Colorado College,https://www.topuniversities.com/universities/colorado-college
2,Universidad de Carabobo,https://www.topuniversities.com/universities/universidad-de-carabobo
3,University College Cork,https://www.topuniversities.com/universities/university-college-cork
4,Drexel University,https://www.topuniversities.com/universities/drexel-university
5,University of Tripoli Lebanon,https://www.topuniversities.com/universities/university-tripoli-lebanon
6,Northwest Agriculture and Forestry University,https://www.topuniversities.com/universities/northwest-agriculture-forestry-university
7,Universitas Darussalam Gontor,https://www.topuniversities.com/universities/universitas-darussalam-gontor
8,Deakin University,https://www.topuniversities.com/universities/deakin-university
9,Francis Marion University,https://www.topuniversities.com/universities/francis-marion-university
10,ISCOM,https://www.topuniversities.com/universities/iscom
1,University of Northern Colorado,https://www.topuniversities.com/universities/university-northern-colorado
2,Saint Louis University (Philippines),https://www.topuniversities.com/universities/saint-louis-university-philippines
3,Moscow Polytechnic University,https://www.topuniversities.com/universities/moscow-polytechnic-university
4,École Nationale Supérieure d'Électricité et de Mécanique (EMSEM),https://www.topuniversities.com/universities/ecole-nationale-superieure-delectricite-et-de-mecanique-emsem
5,OCAD University,https://www.topuniversities.com/universities/ocad-university
6,Chang Gung University,https://www.topuniversities.com/universities/chang-gung-university
7,Rajamangala University of Technology Phra Nakhon (RMUTP),https://www.topuniversities.com/universities/rajamangala-university-technology-phra-nakhon-rmutp
8,Universidad Nacional de General Sarmiento (UNGS),https://www.topuniversities.com/universities/universidad-nacional-de-general-sarmiento-ungs
9,Case School of Law,https://www.topuniversities.com/universities/case-western-reserve-university/case-school-law
10,Okanagan College,https://www.topuniversities.com/universities/okanagan-college
1,Vladimir State University named after Alexander and Nikolay Stoletovs,https://www.topuniversities.com/universities/vladimir-state-university-named-after-alexander-nikolay-stoletovs
2,Al Falah University,https://www.topuniversities.com/universities/al-falah-university
3,Badr University in Cairo,https://www.topuniversities.com/universities/badr-university-cairo
4,University of Tabuk,https://www.topuniversities.com/universities/university-tabuk
5,Synergy University,https://www.topuniversities.com/universities/synergy-university
6,Nakhchivan University,https://www.topuniversities.com/universities/nakhchivan-university
7,Fo Guang University (Buddha's Light University),https://www.topuniversities.com/universities/fo-guang-university-buddhas-light-university
8,Smith College,https://www.topuniversities.com/universities/smith-college
9,Universidad Estatal de Sonora,https://www.topuniversities.com/universities/universidad-estatal-de-sonora
10,Woxsen University,https://www.topuniversities.com/universities/woxsen-university
1,"Fashion Institute of Technology (FIT), SUNY",https://www.topuniversities.com/universities/fashion-institute-technology-fit-suny
2,New Mexico Highlands University,https://www.topuniversities.com/universities/new-mexico-highlands-university
3,Moscow School of Management SKOLKOVO,https://www.topuniversities.com/universities/moscow-school-management-skolkovo
4,University Mohamed El Bachir El Ibrahimi of Bordj Bou Arreridj,https://www.topuniversities.com/universities/university-mohamed-el-bachir-el-ibrahimi-bordj-bou-arreridj
5,Kanazawa University,https://www.topuniversities.com/universities/kanazawa-university
6,Amirkabir University of Technology,https://www.topuniversities.com/universities/amirkabir-university-technology
7,Van Yüzüncü Yıl University,https://www.topuniversities.com/universities/van-yuzuncu-yil-university
8,Université Paris 1 Panthéon-Sorbonne ,https://www.topuniversities.com/universities/universite-paris-1-pantheon-sorbonne
9,Macromedia University of Applied Sciences ,https://www.topuniversities.com/universities/macromedia-university-applied-sciences
10,Università degli Studi di Perugia,https://www.topuniversities.com/universities/universita-degli-studi-di-perugia
1,University of Messina (UniME),https://www.topuniversities.com/universities/university-messina-unime
2,School of Economics and Business,https://www.topuniversities.com/universities/school-economics-business
3,"Alfred Lerner College of Business and Economics, The University of Delaware",https://www.topuniversities.com/universities/alfred-lerner-college-business-economics-university-delaware
4,University of Rijeka,https://www.topuniversities.com/universities/university-rijeka
5,Weissman School of Arts and Sciences,https://www.topuniversities.com/universities/baruch-college/weissman-school-arts-sciences
6,"Mahatma Gandhi University, Kottayam",https://www.topuniversities.com/universities/mahatma-gandhi-university-kottayam
7,Università degli Studi di Scienze Gastronomiche,https://www.topuniversities.com/universities/universita-degli-studi-di-scienze-gastronomiche
8,University of Abertay Dundee,https://www.topuniversities.com/universities/university-abertay-dundee
9,Indian Institute of Science,https://www.topuniversities.com/universities/indian-institute-science
10,Lewis University,https://www.topuniversities.com/universities/lewis-university
1,Pirogov Russian National Research Medical University,https://www.topuniversities.com/universities/pirogov-russian-national-research-medical-university
2,"School for International Training, Graduate and Professional Studies",https://www.topuniversities.com/universities/school-international-training-graduate-professional-studies
3,Walailak University,https://www.topuniversities.com/universities/walailak-university
4,Ogarev Mordovia State University ,https://www.topuniversities.com/universities/ogarev-mordovia-state-university
5,NEWTON University,https://www.topuniversities.com/universities/newton-university
6,University of Business and International Studies,https://www.topuniversities.com/universities/university-business-international-studies
7,Nankai University,https://www.topuniversities.com/universities/nankai-university
8,Imam Mohammad Ibn Saud Islamic University – IMSIU,https://www.topuniversities.com/universities/imam-mohammad-ibn-saud-islamic-university-imsiu
9,CAMPUS 02 University for Applied Sciences,https://www.topuniversities.com/universities/campus-02-university-applied-sciences
10,University of Aruba,https://www.topuniversities.com/universities/university-aruba
1,"National Institute of Education, Nanyang Technological University, Singapore",https://www.topuniversities.com/universities/national-institute-education-nanyang-technological-university-singapore
2,Tver State University,https://www.topuniversities.com/universities/tver-state-university
3,"The University of Newcastle, Australia (UON)",https://www.topuniversities.com/universities/university-newcastle-australia-uon
4,Augustana University,https://www.topuniversities.com/universities/augustana-university
5,Norwich University,https://www.topuniversities.com/universities/norwich-university
6,WU Executive Academy,https://www.topuniversities.com/universities/wu-executive-academy
7,Gallaudet University,https://www.topuniversities.com/universities/gallaudet-university
8,Universidad de Atacama,https://www.topuniversities.com/universities/universidad-de-atacama
9,Southeastern University,https://www.topuniversities.com/universities/southeastern-university
10,Central Saint Martins,https://www.topuniversities.com/universities/university-arts-london/central-saint-martins
1,Gazi Üniversitesi,https://www.topuniversities.com/universities/gazi-universitesi
2,Webster University - Ghana,https://www.topuniversities.com/universities/webster-university-ghana
3,Ecole Nationale Supérieure de la Photographie d’Arles,https://www.topuniversities.com/universities/ecole-nationale-superieure-de-la-photographie-darles
4,Cairo University,https://www.topuniversities.com/universities/cairo-university
5,University of Hawaii at Hilo,https://www.topuniversities.com/universities/university-hawaii-hilo
6,National Changhua University of Education,https://www.topuniversities.com/universities/national-changhua-university-education
7,University of Minnesota Twin Cities,https://www.topuniversities.com/universities/university-minnesota-twin-cities
