No.,University,URL
4,Assumption College,https://www.topuniversities.com/universities/assumption-college
5,Creighton University,https://www.topuniversities.com/universities/creighton-university
6,University of Nottingham Malaysia,https://www.topuniversities.com/universities/university-nottingham-malaysia
7,"Vietnam National University, Hanoi ",https://www.topuniversities.com/universities/vietnam-national-university-hanoi
8,Semyung University,https://www.topuniversities.com/universities/semyung-university
9,Czech College ,https://www.topuniversities.com/universities/czech-college
10,BPP University,https://www.topuniversities.com/universities/bpp-university
1,Universidad de La Serena,https://www.topuniversities.com/universities/universidad-de-la-serena
2,Siberian State University of Telecommunications and Information Sciences,https://www.topuniversities.com/universities/siberian-state-university-telecommunications-information-sciences
3,Zhengzhou University,https://www.topuniversities.com/universities/zhengzhou-university
4,Princeton University,https://www.topuniversities.com/universities/princeton-university
5,Liverpool Hope University,https://www.topuniversities.com/universities/liverpool-hope-university
6,Tajik National University,https://www.topuniversities.com/universities/tajik-national-university
7,Universidad Arturo Prat ,https://www.topuniversities.com/universities/universidad-arturo-prat
8,University of Qom,https://www.topuniversities.com/universities/university-qom
9,The London Film School,https://www.topuniversities.com/universities/london-film-school
10,Ho Chi Minh City University of Technology (HUTECH),https://www.topuniversities.com/universities/ho-chi-minh-city-university-technology-hutech
1,Daejeon University ,https://www.topuniversities.com/universities/daejeon-university
2,UNIVERSITAS MEDAN AREA,https://www.topuniversities.com/universities/universitas-medan-area
3,Bryansk State Technical University (BSTU),https://www.topuniversities.com/universities/bryansk-state-technical-university-bstu
4,Marymount Manhattan College,https://www.topuniversities.com/universities/marymount-manhattan-college
5,Fundació Politècnica de Catalunya,https://www.topuniversities.com/universities/fundacio-politecnica-de-catalunya
6,Jerash Private University,https://www.topuniversities.com/universities/jerash-private-university
7,Gorontalo State University (GSU),https://www.topuniversities.com/universities/gorontalo-state-university-gsu
8,Villanova School of Business,https://www.topuniversities.com/universities/villanova-school-business
9,Ilia State University,https://www.topuniversities.com/universities/ilia-state-university
10,Ponce School of Medicine,https://www.topuniversities.com/universities/ponce-school-medicine
1,Universidad CES,https://www.topuniversities.com/universities/universidad-ces
2,Centre for International Mobility (CIMO),https://www.topuniversities.com/universities/centre-international-mobility-cimo
3,Universidad Autonoma Chapingo,https://www.topuniversities.com/universities/universidad-autonoma-chapingo
4,Cornell College,https://www.topuniversities.com/universities/cornell-college
5,Ecole Nationale Supérieure d'Architecture de Paris-Belleville,https://www.topuniversities.com/universities/ecole-nationale-superieure-darchitecture-de-paris-belleville
6,UNIVERSIDAD DE HUELVA,https://www.topuniversities.com/universities/universidad-de-huelva
7,Chulalongkorn Business School,https://www.topuniversities.com/universities/chulalongkorn-university/chulalongkorn-business-school
8,University College Plymouth St Mark & St John,https://www.topuniversities.com/universities/university-college-plymouth-st-mark-st-john
9,D. Serikbayev East Kazakhstan Technical University,https://www.topuniversities.com/universities/d-serikbayev-east-kazakhstan-technical-university
10,Universidad de Occidente (UdeO),https://www.topuniversities.com/universities/universidad-de-occidente-udeo
1,Trinity Laban Conservatoire of Music and Dance,https://www.topuniversities.com/universities/trinity-laban-conservatoire-music-dance
2,Johannes Gutenberg Universität Mainz,https://www.topuniversities.com/universities/johannes-gutenberg-universitat-mainz
3,Ryukoku University ,https://www.topuniversities.com/universities/ryukoku-university
4,Bowdoin College,https://www.topuniversities.com/universities/bowdoin-college
5,Warsaw University of Technology,https://www.topuniversities.com/universities/warsaw-university-technology-0
6,National Technical University of Ukraine ,https://www.topuniversities.com/universities/national-technical-university-ukraine-igor-sikorsky-kyiv-polytechnic-institute
7,Sulaimani Polytechnic University,https://www.topuniversities.com/universities/sulaimani-polytechnic-university
8,University of Southeastern Philippines,https://www.topuniversities.com/universities/university-southeastern-philippines
9,Zhytomyr Ivan Franko State University,https://www.topuniversities.com/universities/zhytomyr-ivan-franko-state-university
10,University of Science and Technology of Southern Philippines,https://www.topuniversities.com/universities/university-science-technology-southern-philippines
1,Vyatka State Humanities University,https://www.topuniversities.com/universities/vyatka-state-humanities-university
2,Siena College,https://www.topuniversities.com/universities/siena-college
3,Zeppelin University,https://www.topuniversities.com/universities/zeppelin-university
4,Nanjing University of Aeronautics and Astronautics,https://www.topuniversities.com/universities/nanjing-university-aeronautics-astronautics
5,Drake University,https://www.topuniversities.com/universities/drake-university
6,British-Kazakh University,https://www.topuniversities.com/universities/british-kazakh-university
7,Okayama University,https://www.topuniversities.com/universities/okayama-university
8,University of Bucharest,https://www.topuniversities.com/universities/university-bucharest
9,Yuan Ze University,https://www.topuniversities.com/universities/yuan-ze-university
10,The Holon Academic Institute of Technology,https://www.topuniversities.com/universities/holon-academic-institute-technology
1,Bukhara State Medical Institute named after Abu Ali ibn Sino,https://www.topuniversities.com/universities/bukhara-state-medical-institute-named-after-abu-ali-ibn-sino
2,Jackson State University,https://www.topuniversities.com/universities/jackson-state-university
3,Universidad de Sevilla,https://www.topuniversities.com/universities/universidad-de-sevilla
4,Islamia College Peshawar,https://www.topuniversities.com/universities/islamia-college-peshawar
5,University of Navarra School of Economics and Business,https://www.topuniversities.com/universities/university-navarra-school-economics-business
6,Medical University of the Americas,https://www.topuniversities.com/universities/medical-university-americas
7,University of Greenwich,https://www.topuniversities.com/universities/university-greenwich
8,Swedish University of Agricultural Sciences ,https://www.topuniversities.com/universities/swedish-university-agricultural-sciences
9,Ogarev Mordovia State University ,https://www.topuniversities.com/universities/ogarev-mordovia-state-university
10,Manchester Metropolitan University,https://www.topuniversities.com/universities/manchester-metropolitan-university
1,Graduate School of Education and Psychology,https://www.topuniversities.com/universities/pepperdine-university/graduate-school-education-psychology
2,Cebu Normal University,https://www.topuniversities.com/universities/cebu-normal-university
3,SUNY Plattsburgh,https://www.topuniversities.com/universities/suny-plattsburgh
4,Asian Institute of Management,https://www.topuniversities.com/universities/asian-institute-management
5,University of Dubuque,https://www.topuniversities.com/universities/university-dubuque
6,University of Stavanger,https://www.topuniversities.com/universities/university-stavanger
7,Universidad del CEMA,https://www.topuniversities.com/universities/universidad-del-cema
8,"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",https://www.topuniversities.com/universities/agro-institute-agro-institute-dijon-agro-institute-montpellier-agro-institute-rennes-angers
9,Sabaragamuwa University of Sri Lanka ,https://www.topuniversities.com/universities/sabaragamuwa-university-sri-lanka
10,Beedie School of Business,https://www.topuniversities.com/universities/simon-fraser-university/beedie-school-business
