No.,University,URL
1,Beykent Üniversitesi,https://www.topuniversities.com/universities/beykent-universitesi
2,Bath Spa University,https://www.topuniversities.com/universities/bath-spa-university
3,Brown University,https://www.topuniversities.com/universities/brown-university
4,Odessa I.I.Mechnikov National University,https://www.topuniversities.com/universities/odessa-iimechnikov-national-university
5,Skolkovo Institute of Science and Technology Skoltech,https://www.topuniversities.com/universities/skolkovo-institute-science-technology-skoltech
6,Centre Universitaire – Tindouf,https://www.topuniversities.com/universities/centre-universitaire-tindouf
7,Hubert Humphrey Institute of Public Affairs,https://www.topuniversities.com/universities/university-minnesota-twin-cities/hubert-humphrey-institute-public-affairs
8,University of the South Pacific,https://www.topuniversities.com/universities/university-south-pacific
9,Al-Yamamah University,https://www.topuniversities.com/universities/al-yamamah-university
10,Sydney Film School,https://www.topuniversities.com/universities/sydney-film-school
1,École d'Ingénieurs ESTACA,https://www.topuniversities.com/universities/ecole-dingenieurs-estaca
2,University of Nottingham,https://www.topuniversities.com/universities/university-nottingham
3,Bharathiar University,https://www.topuniversities.com/universities/bharathiar-university-coimbatore
4,Graduate School of International Relations,https://www.topuniversities.com/universities/international-university-japan/graduate-school-international-relations
5,Price College of Business,https://www.topuniversities.com/universities/price-college-business
6,Athena School of Management,https://www.topuniversities.com/universities/athena-school-management
7,Teesside University Business School,https://www.topuniversities.com/universities/teesside-university/teesside-university-business-school
8,Graduate School of Economics and Management,https://www.topuniversities.com/universities/ural-federal-university-urfu/graduate-school-economics-management
9,Université du Québec,https://www.topuniversities.com/universities/universite-du-quebec
10,International Technological University (ITU),https://www.topuniversities.com/universities/international-technological-university-itu
1,Universidad de Monterrey (UDEM),https://www.topuniversities.com/universities/universidad-de-monterrey-udem
2,Geneva School of Diplomacy & International Relations,https://www.topuniversities.com/universities/geneva-school-diplomacy-international-relations
3,Pamantasang Ateneo de Manila ,https://www.topuniversities.com/universities/pamantasang-ateneo-de-manila
4,University of Nyíregyháza,https://www.topuniversities.com/universities/university-nyiregyhaza
5,Yugra State University,https://www.topuniversities.com/universities/yugra-state-university
6,Brock University,https://www.topuniversities.com/universities/brock-university
7,"Universal Business School, Mumbai",https://www.topuniversities.com/universities/universal-business-school-mumbai
8,University of Memphis,https://www.topuniversities.com/universities/university-memphis
9,Laurentian University,https://www.topuniversities.com/universities/laurentian-university
