No.,University,URL
1,Chapman Graduate School of Business - FIU,https://www.topuniversities.com/universities/florida-international-university/chapman-graduate-school-business-fiu
2,NIIT University,https://www.topuniversities.com/universities/niit-university
3,Grinnell College,https://www.topuniversities.com/universities/grinnell-college
4,Xi’an Jiaotong University,https://www.topuniversities.com/universities/xian-jiaotong-university
5,Gunma University,https://www.topuniversities.com/universities/gunma-university
6,Indian Institute of Technology Madras (IITM),https://www.topuniversities.com/universities/indian-institute-technology-madras-iitm
7,London College of Fashion,https://www.topuniversities.com/universities/university-arts-london/london-college-fashion
8,Universidad de Cienfuegos Carlos Rafael Rodríguez,https://www.topuniversities.com/universities/universidad-de-cienfuegos-carlos-rafael-rodriguez
9,Universidad Autónoma de Coahuila (UAdeC),https://www.topuniversities.com/universities/universidad-autonoma-de-coahuila-uadec
10,Communication University of China,https://www.topuniversities.com/universities/communication-university-china
1,"Institut d'Optique, ParisTech",https://www.topuniversities.com/universities/institut-doptique-paristech
2,HEC Paris Executive MBA,https://www.topuniversities.com/universities/hec-paris-executive-mba
3,Universidad Militar Nueva Granada,https://www.topuniversities.com/universities/universidad-militar-nueva-granada
4,University of Ain Temouchent,https://www.topuniversities.com/universities/university-ain-temouchent
5,Eastern Illinois University,https://www.topuniversities.com/universities/eastern-illinois-university
6,Voronezh State Agrarian University n.a. Emperor Peter the Great,https://www.topuniversities.com/universities/voronezh-state-agrarian-university-na-emperor-peter-great
7,Universität Passau,https://www.topuniversities.com/universities/universitat-passau
8,Bard College,https://www.topuniversities.com/universities/bard-college
9,Universidad del CEMA,https://www.topuniversities.com/universities/universidad-del-cema
10,Canberra University of Technology,https://www.topuniversities.com/universities/canberra-university-technology
1,Universidad Autónoma de Bucaramanga - UNAB,https://www.topuniversities.com/universities/universidad-autonoma-de-bucaramanga-unab
2,East China Normal University,https://www.topuniversities.com/universities/east-china-normal-university
3,University of New England Australia,https://www.topuniversities.com/universities/university-new-england-australia
4,Stonehill College,https://www.topuniversities.com/universities/stonehill-college
5,Dalhousie University Business School,https://www.topuniversities.com/universities/dalhousie-university/dalhousie-university-business-school
6,AGH University of Krakow,https://www.topuniversities.com/universities/agh-university-krakow
7,Payame Noor University,https://www.topuniversities.com/universities/payame-noor-university
8,Islamia College Peshawar,https://www.topuniversities.com/universities/islamia-college-peshawar
9,Universiti Teknologi MARA - UiTM,https://www.topuniversities.com/universities/universiti-teknologi-mara-uitm
10,Government College Women University Sialkot,https://www.topuniversities.com/universities/government-college-women-university-sialkot
1,"The School of  Business, Economics and Law",https://www.topuniversities.com/universities/university-gothenburg/school-business-economics-law
2,Kookmin University ,https://www.topuniversities.com/universities/kookmin-university
3,Université de Strasbourg,https://www.topuniversities.com/universities/universite-de-strasbourg
4,Universidad Autonoma Chapingo,https://www.topuniversities.com/universities/universidad-autonoma-chapingo
5,Kwangju Women`s University ,https://www.topuniversities.com/universities/kwangju-womens-university
6,International Higher School of Medicine,https://www.topuniversities.com/universities/international-higher-school-medicine
7,"University of Illinois, Springfield (UIS)",https://www.topuniversities.com/universities/university-illinois-springfield-uis
8,Université Paul Sabatier Toulouse III,https://www.topuniversities.com/universities/universite-paul-sabatier-toulouse-iii
9,Next International Business School,https://www.topuniversities.com/universities/next-international-business-school
10,Lebanese University,https://www.topuniversities.com/universities/lebanese-university
1,"Amity University, Haryana",https://www.topuniversities.com/universities/amity-university-haryana
2,Bina Nusantara University (BINUS),https://www.topuniversities.com/universities/bina-nusantara-university-binus
3,Regent's American College London,https://www.topuniversities.com/universities/regents-university-london/regents-american-college-london
4,Osgoode Hall Law School International LLM Program,https://www.topuniversities.com/universities/york-university/osgoode-hall-law-school-international-llm-program
5,Sichuan University,https://www.topuniversities.com/universities/sichuan-university
6,The Pantheon Design & Technology Institute,https://www.topuniversities.com/universities/pantheon-design-technology-institute
7,Institut supérieur de commerce et d'administration des entreprises  ISCAE,https://www.topuniversities.com/universities/institut-superieur-de-commerce-et-dadministration-des-entreprises-iscae
8,Mount Holyoke College,https://www.topuniversities.com/universities/mount-holyoke-college
9,Universitas Komputer Indonesia,https://www.topuniversities.com/universities/universitas-komputer-indonesia
10,Central Saint Martins,https://www.topuniversities.com/universities/university-arts-london/central-saint-martins
1,University of North Carolina at Greensboro,https://www.topuniversities.com/universities/university-north-carolina-greensboro
2,Baekseok University ,https://www.topuniversities.com/universities/baekseok-university
3,Washington & Jefferson College,https://www.topuniversities.com/universities/washington-jefferson-college
4,Lomonosov Moscow State University of Fine Chemical Technologies,https://www.topuniversities.com/universities/lomonosov-moscow-state-university-fine-chemical-technologies
5,Flanders Knowledge Area,https://www.topuniversities.com/universities/flanders-knowledge-area
6,The London Film School,https://www.topuniversities.com/universities/london-film-school
7,EHL Swiss School of Tourism and Hospitality,https://www.topuniversities.com/universities/ehl-swiss-school-tourism-hospitality
8,Wofford College,https://www.topuniversities.com/universities/wofford-college
9,Leeds Art University,https://www.topuniversities.com/universities/leeds-college-art
10,Beijing Film Academy,https://www.topuniversities.com/universities/beijing-film-academy
1,"Platov South-Russian State Polytechnic University, NPI",https://www.topuniversities.com/universities/platov-south-russian-state-polytechnic-university-npi
2,Ulyanovsk State University,https://www.topuniversities.com/universities/ulyanovsk-state-university
3,Virtual University of Pakistan,https://www.topuniversities.com/universities/virtual-university-pakistan
4,Loyola University New Orleans College of Law,https://www.topuniversities.com/universities/loyola-university-new-orleans-college-law
5,Zicklin School of Business,https://www.topuniversities.com/universities/baruch-college/zicklin-school-business
6,Islamic Azad University,https://www.topuniversities.com/universities/islamic-azad-university
7,Sun Moon University,https://www.topuniversities.com/universities/sun-moon-university
8,Tokushima University,https://www.topuniversities.com/universities/tokushima-university
9,Williams College,https://www.topuniversities.com/universities/williams-college
10,University of Vaasa,https://www.topuniversities.com/universities/university-vaasa
1,John Paul II Catholic University of Lublin,https://www.topuniversities.com/universities/john-paul-ii-catholic-university-lublin
2,Brock University ,https://www.topuniversities.com/universities/brock-university/brock-university
3,Université d'Orléans,https://www.topuniversities.com/universities/universite-dorleans
4,Hanoi National University of Education,https://www.topuniversities.com/universities/hanoi-national-university-education
5,Universidade Federal do Triângulo Mineiro,https://www.topuniversities.com/universities/universidade-federal-do-triangulo-mineiro
6,"Escuela de Postgrado de las Facultades de Ingeniería, Economía y Empresa",https://www.topuniversities.com/universities/universidad-diego-portales/escuela-de-postgrado-de-las-facultades-de-ingenieria-economia-y-empresa
7,"Chaudhary Charan Singh University, Meerut",https://www.topuniversities.com/universities/chaudhary-charan-singh-university-meerut
8,Central Mindanao University ,https://www.topuniversities.com/universities/central-mindanao-university
9,Católica Porto Business School,https://www.topuniversities.com/universities/catolica-porto-business-school
10,Russian New University RosNOU,https://www.topuniversities.com/universities/russian-new-university-rosnou
1,Universiti Sultan Zainal Abidin,https://www.topuniversities.com/universities/universiti-sultan-zainal-abidin
2,University of Mobile,https://www.topuniversities.com/universities/university-mobile
3,Yerevan State University,https://www.topuniversities.com/universities/yerevan-state-university
4,University of Central Florida,https://www.topuniversities.com/universities/university-central-florida
5,Universiti Malaysia Perlis,https://www.topuniversities.com/universities/universiti-malaysia-perlis
6,University of St.Gallen (HSG),https://www.topuniversities.com/universities/university-stgallen-hsg
7,Université Montpellier 1,https://www.topuniversities.com/universities/universite-montpellier-1
8,Nove de Julho University - UNINOVE,https://www.topuniversities.com/universities/nove-de-julho-university-uninove
9,Marymount Manhattan College,https://www.topuniversities.com/universities/marymount-manhattan-college
10,The John Marshall Law School,https://www.topuniversities.com/universities/john-marshall-law-school
1,New York University (NYU),https://www.topuniversities.com/universities/new-york-university-nyu
2,Batterjee Medical College,https://www.topuniversities.com/universities/batterjee-medical-college
3,Indian Institute of Technology Madras (IITM),https://www.topuniversities.com/universities/indian-institute-technology-madras-iitm
4,Bergen University College,https://www.topuniversities.com/universities/bergen-university-college
5,Shanghai Maritime University,https://www.topuniversities.com/universities/shanghai-maritime-university
6,Tarlac State University,https://www.topuniversities.com/universities/tarlac-state-university
7,Athabasca University,https://www.topuniversities.com/universities/athabasca-university
8,Escuela Colombiana de Ingeniería Julio Garavito ,https://www.topuniversities.com/universities/escuela-colombiana-de-ingenieria-julio-garavito
9,Universidad Central del Ecuador,https://www.topuniversities.com/universities/universidad-central-del-ecuador
10,Universidad Nacional de Lujan,https://www.topuniversities.com/universities/universidad-nacional-de-lujan
1,Mahidol University,https://www.topuniversities.com/universities/mahidol-university
2,Foothill College,https://www.topuniversities.com/universities/foothill-college
3,İstanbul Medipol University,https://www.topuniversities.com/universities/istanbul-medipol-university
