University,Year,Rank
Bath Spa University,2024 #=159,#=159
Brown University,2012 #42,#42
Brown University,2014 #47,#47
Brown University,2015 #=52,#=52
Brown University,2016 #49,#49
Brown University,2017 #=49,#=49
Brown University,2018 #53,#53
Brown University,2019 #56,#56
Brown University,2020 #57,#57
Brown University,2021 #60,#60
Brown University,2022 #60,#60
Brown University,2023 #63,#63
Brown University,2024 #=73,#=73
Odessa I.I.Mechnikov National University,2023 #1001-1200,#1001-1200
Odessa I.I.Mechnikov National University,2024 #1001-1200,#1001-1200
Skolkovo Institute of Science and Technology Skoltech,2021 #101-150,#101-150
Skolkovo Institute of Science and Technology Skoltech,2022 #551-600,#551-600
Skolkovo Institute of Science and Technology Skoltech,2022 #451-500,#451-500
Skolkovo Institute of Science and Technology Skoltech,2022 #101-150,#101-150
Skolkovo Institute of Science and Technology Skoltech,2022 #451-500,#451-500
Skolkovo Institute of Science and Technology Skoltech,2023 #501-550,#501-550
Skolkovo Institute of Science and Technology Skoltech,2023 #501-550,#501-550
Skolkovo Institute of Science and Technology Skoltech,2023 #101-150,#101-150
Skolkovo Institute of Science and Technology Skoltech,2023 #451-500,#451-500
University of the South Pacific,2024 #1201+,#1201+
Al-Yamamah University,2021 #131-160,#131-160
Al-Yamamah University,2024 #171-200,#171-200
University of Nottingham,2012 #72,#72
University of Nottingham,2014 #=75,#=75
University of Nottingham,2015 #77,#77
University of Nottingham,2016 #=70,#=70
University of Nottingham,2017 #=75,#=75
University of Nottingham,2018 #=84,#=84
University of Nottingham,2019 #82,#82
University of Nottingham,2020 #96,#96
University of Nottingham,2021 #99,#99
University of Nottingham,2022 #103,#103
University of Nottingham,2023 #114,#114
University of Nottingham,2024 #=100,#=100
Bharathiar University,2023 #36,#36
Bharathiar University,2024 #24,#24
Price College of Business,2021 #51+,#51+
Price College of Business,2022 #91-100,#91-100
Price College of Business,2023 #101+,#101+
Price College of Business,2024 #101+,#101+
Graduate School of Economics and Management,2019 #101+,#101+
Université du Québec,2012 #401- 450,#401- 450
Université du Québec,2014 #411-420,#411-420
Université du Québec,2015 #501-550,#501-550
Université du Québec,2016 #431-440,#431-440
Université du Québec,2017 #501-550,#501-550
Université du Québec,2018 #501-550,#501-550
Université du Québec,2019 #541-550,#541-550
Université du Québec,2020 #561-570,#561-570
Université du Québec,2021 #601-650,#601-650
Université du Québec,2022 #591-600,#591-600
Université du Québec,2023 #571-580,#571-580
Université du Québec,2024 #751-760,#751-760
Universidad de Monterrey (UDEM),2016 #701+,#701+
Universidad de Monterrey (UDEM),2017 #701+,#701+
Universidad de Monterrey (UDEM),2018 #801-1000,#801-1000
Universidad de Monterrey (UDEM),2019 #801-1000,#801-1000
Universidad de Monterrey (UDEM),2020 #801-1000,#801-1000
Universidad de Monterrey (UDEM),2021 #1001+,#1001+
Universidad de Monterrey (UDEM),2022 #1001-1200,#1001-1200
Universidad de Monterrey (UDEM),2023 #1001-1200,#1001-1200
Universidad de Monterrey (UDEM),2024 #1001-1200,#1001-1200
University of Nyíregyháza,2020 #221-230,#221-230
University of Nyíregyháza,2021 #251-300,#251-300
University of Nyíregyháza,2022 #301-350,#301-350
Brock University,2022 #1001-1200,#1001-1200
Brock University,2023 #1001-1200,#1001-1200
Brock University,2024 #1201-1400,#1201-1400
University of Memphis,2023 #1201-1400,#1201-1400
University of Memphis,2024 #1201-1400,#1201-1400
"California State University, San Marcos College",2021 #251-300,#251-300
University of Alabama - Manderson,2024 #=35,#=35
Universidad Nacional Agraria la Molina,2021 #1001+,#1001+
Universidad Nacional Agraria la Molina,2022 #1001-1200,#1001-1200
Universidad Nacional Agraria la Molina,2023 #1001-1200,#1001-1200
Universidad Nacional Agraria la Molina,2024 #1201-1400,#1201-1400
University of Gujrat,2024 #=204,#=204
Universidade Veiga de Almeida,2024 #=233,#=233
University of Alabama at Birmingham ,2023 #651-700,#651-700
University of Alabama at Birmingham ,2024 #901-950,#901-950
Karaganda State Technical University,2019 #751-800,#751-800
Karaganda State Technical University,2020 #801-1000,#801-1000
Karaganda State Technical University,2021 #801-1000,#801-1000
Karaganda State Technical University,2022 #751-800,#751-800
Karaganda State Technical University,2023 #651-700,#651-700
Karaganda State Technical University,2024 #801-850,#801-850
Universidad Evangelica de El Salvador,2015 #301+,#301+
Universidad Evangelica de El Salvador,2016 #301+,#301+
Universidad Evangelica de El Salvador,2018 #301-400,#301-400
Universidad Evangelica de El Salvador,2019 #351+,#351+
Universidad Evangelica de El Salvador,2020 #351-400,#351-400
Universidad Evangelica de El Salvador,2021 #351-400,#351-400
Universidad Politécnica de Puerto Rico - PUPR,2024 #=12,#=12
Singapore University of Technology and Design,2024 #=429,#=429
"Dhaka University of Engineering and Technology, Gazipur",2023 #=110,#=110
"Dhaka University of Engineering and Technology, Gazipur",2024 #=90,#=90
REVA UNIVERSITY,2023 #751+,#751+
"Sibelius Academy, University of the Arts Helsinki",2016 #7,#7
"Sibelius Academy, University of the Arts Helsinki",2017 #10,#10
"Sibelius Academy, University of the Arts Helsinki",2018 #6,#6
"Sibelius Academy, University of the Arts Helsinki",2019 #12,#12
"Sibelius Academy, University of the Arts Helsinki",2020 #13,#13
"Sibelius Academy, University of the Arts Helsinki",2021 #9,#9
"Sibelius Academy, University of the Arts Helsinki",2022 #201-230,#201-230
"Sibelius Academy, University of the Arts Helsinki",2022 #=22,#=22
"Sibelius Academy, University of the Arts Helsinki",2023 #25,#25
Shanghai International Studies University,2018 #651-700,#651-700
Shanghai International Studies University,2019 #701-750,#701-750
Shanghai International Studies University,2020 #801-1000,#801-1000
Shanghai International Studies University,2021 #801-1000,#801-1000
Shanghai International Studies University,2022 #1001-1200,#1001-1200
Shanghai International Studies University,2023 #1001-1200,#1001-1200
Shanghai International Studies University,2024 #1001-1200,#1001-1200
Qassim University,2022 #801-1000,#801-1000
Qassim University,2023 #801-1000,#801-1000
