University,Year,Rank
Karolinska Institutet,2017 #38,#38
Karolinska Institutet,2017 #151-200,#151-200
Karolinska Institutet,2017 #451-500,#451-500
Karolinska Institutet,2018 #10,#10
Karolinska Institutet,2018 #7,#7
Karolinska Institutet,2018 #251-300,#251-300
Karolinska Institutet,2018 #51-100,#51-100
Karolinska Institutet,2018 #51-100,#51-100
Karolinska Institutet,2018 #451-500,#451-500
Karolinska Institutet,2018 #11,#11
Karolinska Institutet,2018 #6,#6
Karolinska Institutet,2018 #151-200,#151-200
Karolinska Institutet,2018 #6,#6
Karolinska Institutet,2018 #31,#31
Karolinska Institutet,2019 #9,#9
Karolinska Institutet,2019 #251-300,#251-300
Karolinska Institutet,2019 #51-100,#51-100
Karolinska Institutet,2019 #401-450,#401-450
Karolinska Institutet,2019 #=15,#=15
Karolinska Institutet,2019 #6,#6
Karolinska Institutet,2019 #151-200,#151-200
Karolinska Institutet,2019 #1,#1
Karolinska Institutet,2019 #31,#31
Karolinska Institutet,2019 #14,#14
Karolinska Institutet,2020 #13,#13
Karolinska Institutet,2020 #10,#10
Karolinska Institutet,2020 #251-300,#251-300
Karolinska Institutet,2020 #51-100,#51-100
Karolinska Institutet,2020 #51-100,#51-100
Karolinska Institutet,2020 #401-450,#401-450
Karolinska Institutet,2020 #18,#18
Karolinska Institutet,2020 #5,#5
Karolinska Institutet,2020 #251-300,#251-300
Karolinska Institutet,2020 #151-200,#151-200
Karolinska Institutet,2020 #8,#8
Karolinska Institutet,2020 #34,#34
Karolinska Institutet,2021 #6,#6
Karolinska Institutet,2021 #401-450,#401-450
Karolinska Institutet,2021 #20,#20
Karolinska Institutet,2021 #=17,#=17
Karolinska Institutet,2021 #=86,#=86
Karolinska Institutet,2021 #251-300,#251-300
Karolinska Institutet,2021 #=8,#=8
Karolinska Institutet,2021 #151-200,#151-200
Karolinska Institutet,2021 #10,#10
Karolinska Institutet,2021 #32,#32
Karolinska Institutet,2021 #101-120,#101-120
Karolinska Institutet,2022 #7,#7
Karolinska Institutet,2022 #21,#21
Karolinska Institutet,2022 #18,#18
Karolinska Institutet,2022 #12,#12
Karolinska Institutet,2022 #401-450,#401-450
Karolinska Institutet,2022 #101-150,#101-150
Karolinska Institutet,2022 #201-250,#201-250
Karolinska Institutet,2022 #151-200,#151-200
Karolinska Institutet,2022 #1,#1
Karolinska Institutet,2022 #=36,#=36
Karolinska Institutet,2023 #10,#10
Karolinska Institutet,2023 #23,#23
Karolinska Institutet,2023 #17,#17
Karolinska Institutet,2023 #5,#5
Karolinska Institutet,2023 #101-150,#101-150
Karolinska Institutet,2023 #201-250,#201-250
