University,Year,Rank
McDonough School of Business,2019 #39=,#39=
McDonough School of Business,2021 #39,#39
McDonough School of Business,2022 #=35,#=35
McDonough School of Business,2023 #40,#40
McDonough School of Business,2024 #37,#37
Accademia Belle Arti Roma,2017 #151-200,#151-200
Accademia Belle Arti Roma,2018 #101-150,#101-150
Mount St Mary's College,2021 #301-350,#301-350
Plovdiv university ,2024 #=81,#=81
Prestige Institute of Management and Research,2023 #176-200,#176-200
New York State College of Ceramics at Alfred University,2018 #151-200,#151-200
Northeastern University (China),2013 #101-150,#101-150
Northeastern University (China),2016 #401-500,#401-500
Northeastern University (China),2017 #451-500,#451-500
Northeastern University (China),2019 #251-300,#251-300
Northeastern University (China),2020 #251-300,#251-300
Northeastern University (China),2021 #101-150,#101-150
Northeastern University (China),2021 #301-350,#301-350
Northeastern University (China),2022 #301-350,#301-350
Northeastern University (China),2023 #301-350,#301-350
Universitas Islam Indonesia,2024 #1201-1400,#1201-1400
Instituto Nacional de Matemática Pura e Aplicada (IMPA),2015 #301-400,#301-400
Instituto Nacional de Matemática Pura e Aplicada (IMPA),2017 #351-400,#351-400
Instituto Nacional de Matemática Pura e Aplicada (IMPA),2018 #301-350,#301-350
Instituto Nacional de Matemática Pura e Aplicada (IMPA),2019 #301-350,#301-350
Instituto Nacional de Matemática Pura e Aplicada (IMPA),2020 #151-200,#151-200
Instituto Nacional de Matemática Pura e Aplicada (IMPA),2021 #201-250,#201-250
Instituto Nacional de Matemática Pura e Aplicada (IMPA),2022 #151-200,#151-200
Instituto Nacional de Matemática Pura e Aplicada (IMPA),2023 #201-250,#201-250
University of Kerala,2024 #1051-1100,#1051-1100
School of the Art Institute of Chicago,2015 #6,#6
School of the Art Institute of Chicago,2016 #7,#7
School of the Art Institute of Chicago,2017 #=7,#=7
School of the Art Institute of Chicago,2018 #8,#8
School of the Art Institute of Chicago,2019 #9,#9
School of the Art Institute of Chicago,2020 #9,#9
School of the Art Institute of Chicago,2021 #7,#7
School of the Art Institute of Chicago,2022 #=9,#=9
School of the Art Institute of Chicago,2023 #11,#11
Czech University of Life Sciences in Prague,2020 #801-1000,#801-1000
Czech University of Life Sciences in Prague,2021 #801-1000,#801-1000
Czech University of Life Sciences in Prague,2022 #801-1000,#801-1000
Czech University of Life Sciences in Prague,2023 #801-1000,#801-1000
Czech University of Life Sciences in Prague,2024 #701-710,#701-710
Wits Business School,2022 #57,#57
Wits Business School,2023 #66,#66
Wits Business School,2024 #85,#85
EPOKA University,2021 #351-400,#351-400
EPOKA University,2022 #401-450,#401-450
Arab American University,2021 #121-130,#121-130
Arab American University,2022 #121-130,#121-130
Arab American University,2023 #131-150,#131-150
Arab American University,2024 #111-120,#111-120
University of Ibadan,2024 #1401+,#1401+
Shenandoah University,2021 #301-350,#301-350
UNIVERSITI TEKNIKAL MALAYSIA MELAKA,2024 #1201-1400,#1201-1400
The University of Texas Health Science Center at Houston,2015 #151-200,#151-200
The University of Texas Health Science Center at Houston,2015 #201-250,#201-250
The University of Texas Health Science Center at Houston,2016 #201-250,#201-250
The University of Texas Health Science Center at Houston,2016 #151-200,#151-200
