University,Year,Rank
Chapman Graduate School of Business - FIU,2022 #14,#14
Chapman Graduate School of Business - FIU,2023 #17,#17
Chapman Graduate School of Business - FIU,2024 #21,#21
Xi’an Jiaotong University,2012 #361,#361
Xi’an Jiaotong University,2014 #372,#372
Xi’an Jiaotong University,2015 #=379,#=379
Xi’an Jiaotong University,2016 #=331,#=331
Xi’an Jiaotong University,2017 #318,#318
Xi’an Jiaotong University,2018 #=344,#=344
Xi’an Jiaotong University,2019 #=313,#=313
Xi’an Jiaotong University,2020 #307,#307
Xi’an Jiaotong University,2021 #303,#303
Xi’an Jiaotong University,2022 #=290,#=290
Xi’an Jiaotong University,2023 #302,#302
Xi’an Jiaotong University,2024 #291,#291
Gunma University,2014 #651-700,#651-700
Gunma University,2015 #651-700,#651-700
Gunma University,2016 #701+,#701+
Gunma University,2017 #701+,#701+
Gunma University,2018 #751-800,#751-800
Gunma University,2019 #701-750,#701-750
Gunma University,2020 #751-800,#751-800
Gunma University,2021 #701-750,#701-750
Gunma University,2022 #701-750,#701-750
Gunma University,2023 #651-700,#651-700
Gunma University,2024 #951-1000,#951-1000
Indian Institute of Technology Madras (IITM),2012 #312,#312
Indian Institute of Technology Madras (IITM),2014 #=313,#=313
Indian Institute of Technology Madras (IITM),2015 #=322,#=322
Indian Institute of Technology Madras (IITM),2016 #=254,#=254
Indian Institute of Technology Madras (IITM),2017 #=249,#=249
Indian Institute of Technology Madras (IITM),2018 #=264,#=264
Indian Institute of Technology Madras (IITM),2019 #=264,#=264
Indian Institute of Technology Madras (IITM),2020 #271,#271
Indian Institute of Technology Madras (IITM),2021 #275,#275
Indian Institute of Technology Madras (IITM),2022 #=255,#=255
Indian Institute of Technology Madras (IITM),2023 #250,#250
Indian Institute of Technology Madras (IITM),2024 #=285,#=285
Universidad de Cienfuegos Carlos Rafael Rodríguez,2024 #=12,#=12
Universidad Autónoma de Coahuila (UAdeC),2024 #=31,#=31
Communication University of China,2013 #151-200,#151-200
Communication University of China,2014 #151-200,#151-200
Communication University of China,2022 #201-240,#201-240
Communication University of China,2023 #201-240,#201-240
Communication University of China,2023 #151-200,#151-200
Universidad Militar Nueva Granada,2024 #=233,#=233
Voronezh State Agrarian University n.a. Emperor Peter the Great,2022 #301-350,#301-350
Bard College,2020 #151-200,#151-200
Bard College,2021 #151-200,#151-200
Bard College,2022 #151-200,#151-200
Bard College,2023 #151-200,#151-200
Universidad del CEMA,2024 #=233,#=233
Universidad Autónoma de Bucaramanga - UNAB,2024 #=192,#=192
East China Normal University,2015 #501-550,#501-550
East China Normal University,2016 #551-600,#551-600
East China Normal University,2017 #551-600,#551-600
East China Normal University,2018 #501-550,#501-550
East China Normal University,2019 #501-510,#501-510
East China Normal University,2020 #531-540,#531-540
East China Normal University,2021 #501-510,#501-510
East China Normal University,2022 #531-540,#531-540
East China Normal University,2023 #541-550,#541-550
East China Normal University,2024 #=511,#=511
University of New England Australia,2014 # 701+,# 701+
University of New England Australia,2015 # 701+,# 701+
University of New England Australia,2016 #651-700,#651-700
University of New England Australia,2017 #701+,#701+
University of New England Australia,2018 #801-1000,#801-1000
University of New England Australia,2019 #801-1000,#801-1000
University of New England Australia,2020 #801-1000,#801-1000
University of New England Australia,2021 #801-1000,#801-1000
University of New England Australia,2022 #801-1000,#801-1000
University of New England Australia,2023 #801-1000,#801-1000
University of New England Australia,2024 #951-1000,#951-1000
Dalhousie University Business School,2012 #243,#243
Dalhousie University Business School,2014 #=244,#=244
Dalhousie University Business School,2015 #=235,#=235
Dalhousie University Business School,2016 #=277,#=277
Dalhousie University Business School,2017 #=283,#=283
Dalhousie University Business School,2018 #=279,#=279
Dalhousie University Business School,2019 #=279,#=279
Dalhousie University Business School,2020 #280,#280
Dalhousie University Business School,2021 #291,#291
Dalhousie University Business School,2022 #=272,#=272
Dalhousie University Business School,2023 #=308,#=308
Dalhousie University Business School,2024 #298,#298
AGH University of Krakow,2018 #801-1000,#801-1000
AGH University of Krakow,2019 #801-1000,#801-1000
AGH University of Krakow,2020 #801-1000,#801-1000
AGH University of Krakow,2021 #801-1000,#801-1000
AGH University of Krakow,2022 #801-1000,#801-1000
AGH University of Krakow,2023 #801-1000,#801-1000
AGH University of Krakow,2024 #901-950,#901-950
Payame Noor University,2024 #=258,#=258
Islamia College Peshawar,2023 #=160,#=160
Islamia College Peshawar,2024 #=219,#=219
Universiti Teknologi MARA - UiTM,2012 #601+,#601+
Universiti Teknologi MARA - UiTM,2014 # 701+,# 701+
Universiti Teknologi MARA - UiTM,2015 #651-700,#651-700
Universiti Teknologi MARA - UiTM,2016 #701+,#701+
Universiti Teknologi MARA - UiTM,2017 #701+,#701+
Universiti Teknologi MARA - UiTM,2018 #751-800,#751-800
Universiti Teknologi MARA - UiTM,2019 #751-800,#751-800
Universiti Teknologi MARA - UiTM,2020 #651-700,#651-700
Universiti Teknologi MARA - UiTM,2021 #651-700,#651-700
Universiti Teknologi MARA - UiTM,2022 #651-700,#651-700
Universiti Teknologi MARA - UiTM,2023 #651-700,#651-700
Universiti Teknologi MARA - UiTM,2024 #555,#555
Government College Women University Sialkot,2023 #=131,#=131
Government College Women University Sialkot,2024 #=143,#=143
